Disease,Week 13,Week  12,Week 11,Week 10,Total so far 2016,Same period 2015,Same period 2014,, ,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,0,14,18,22,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,1,0,2,1,3,, ,,,,,,
Anthrax,0,0,0,0,0,0,0,, , ,, ,,,
Chickenpox,25,19,42,27,362,420,556,, , ,,,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,0,2,4,11,1,, , ,,,,,
Food Poisoning,20,35,18,25,374,347,304,, , ,,,,,
Gastroenteritis (< 2years),1,0,0,1,29,86,131,, , , , ,,,
Hepatitis A,0,0,0,0,2,4,2,, , , , , ,,
Hepatitis B,0,0,1,1,21,34,39,, ,,, ,,,
Hepatitis Unspecified,0,0,0,0,0,0,0,,, ,, ,, ,
Legionnaires' Disease,0,0,0,0,0,1,0,, , , , ,,,
Leptospirosis,0,0,0,0,0,1,0,,, ,,, ,,
Malaria,0,0,0,0,1,0,4,, , , , ,,,
Measles,0,1,0,1,8,7,6,,, , , , ,,
Meningococcal Septicaemia,0,2,0,1,6,8,12,, ,, ,,, ,
Mumps,8,20,13,7,184,98,16,,,, ,,,, 
Paratyphoid Fever,0,0,0,0,0,0,0,, , ,,,,,
Plague,0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,, , ,,,,, 
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,,
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,0,0,0,3,0,, , ,,,,,
Scarlet Fever,15,40,22,15,170,155,182,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),0,1,0,1,12,14,18,, , ,,,,,
Tuberculosis (Non Pulmonary),1,2,0,0,9,12,13,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , , ,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,3,2,1,2,27,8,5,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,73,123,98,83,1226,1230,1314,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,, ,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , , ,,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , ,, ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
