Disease,Week 18,Week 17,Week 16,Week 15,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,2,1,0,18,22,30,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,70,46,63,54,630,669,868,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,1,0,0,5,17,3,, ,,,,,,
Food Poisoning,35,61,40,43,594,518,433,, , ,,,,,
Gastroenteritis (< 2years),3,0,1,1,96,139,188,, , ,,,,,
Hepatitis A,0,2,0,0,4,7,2,, , , , ,,,
Hepatitis B,2,0,3,1,35,42,53,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,2,1,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,1,4,,, ,,, ,,
Measles,0,0,0,0,8,9,8,, , , , ,,,
Meningococcal Septicaemia,0,1,1,0,8,9,12,,, , , , ,,
Mumps,6,19,3,10,235,124,18,, ,, ,,, ,
Paratyphoid Fever,1,0,0,0,1,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,3,1,,, ,,,,,
Scarlet Fever,8,13,20,19,239,216,387,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,4,0,0,19,17,28,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,0,1,12,13,16,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,1,0,0,1,29,16,11,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,127,149,132,130,1936,1828,2066,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
