Gender,Status,2009/10,2010/11,2011/12,2012/13,*2013/14
Female,Non-regulated,23086,19506,19011,19596,22297
Female,Regulated,83152,78164,76589,77229,69608
Female,Female Total,106238,97670,95600,96825,91905
Male,Non-regulated,13141,11539,12333,13942,16750
Male,Regulated,80198,77261,76487,79577,72170
Male,Male Total,93339,88800,88820,93519,88920
Total,Non-regulated,36227,31045,31344,33538,39047
Total,Regulated,163350,155425,153076,156806,141778
Total,Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
