Disease,Week 26,Week 25,Week 24,Week 23,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,2,0,26,37,29,,,,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,1,3,3,4,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,53,46,24,42,998,1232,1018,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,1,1,20,7,3,, ,,,,,,
Food Poisoning,41,56,47,36,870,843,819,, ,,,,,,
Gastroenteritis (< 2years),5,1,18,3,138,222,413,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,2,,, , , ,,,
Hepatitis B,3,4,1,3,59,65,48,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,2,3,4,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,1,0,0,0,2,5,3,,, ,,, ,,
Measles,1,1,0,1,13,10,47,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,14,15,,, , , , ,,
Mumps,4,3,8,9,165,33,582,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,1,0,4,5,8,,, ,,,,,
Scarlet Fever,6,9,2,14,278,494,130,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),0,1,2,3,24,40,18,, , ,,,,,
Tuberculosis (Non Pulmonary),1,1,1,0,18,21,19,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,3,0,4,4,38,18,64,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,119,123,111,117,2679,3054,3228,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
