HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,.,"9,928",.,.,.,.,"9,928"
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,.,"28,935",.,.,.,.,"28,935"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,595",.,.,.,.,"8,595"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"24,690",.,.,.,.,"24,690"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"22,782",.,.,.,.,"22,782"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"8,132",.,.,.,.,"8,132"
AA04D,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,241",.,.,.,.,"8,241"
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,192",.,.,.,.,"4,192"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"4,473",.,.,.,.,"4,473"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,139",.,.,.,.,"8,139"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"7,025",.,.,.,.,"7,025"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,515","1,515"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"13,817",.,.,.,.,"13,817"
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,.,"11,276",.,.,.,.,"11,276"
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,"6,338",.,.,.,.,"6,338"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"32,416",.,.,.,.,"32,416"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,"4,084",.,.,.,.,"4,084"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"6,059",.,.,.,.,"6,059"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"20,556",.,.,.,.,"20,556"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,890",.,.,.,.,"2,890"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2","2,115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,115"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"6,856",.,.,.,.,"6,856"
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,409,.,.,.,.,.,.,"1,040",.,.,.,.,"1,449"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,327,"2,047",.,.,.,.,.,.,"1,812",.,"2,009",.,.,"6,194"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",438,"2,033",404,.,327,.,.,.,752,.,774,.,"14,948",.,.,.,"1,330","21,006"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",438,"4,786","1,907",.,"1,307",819,528,.,752,.,334,.,"21,497",.,"1,149",.,"4,700","38,216"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","6,574","12,600","2,543","1,026","6,784",301,528,.,"2,630",.,"2,653",.,"34,265",.,"8,463",.,"13,503","91,870"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,370,.,.,689,.,.,.,752,.,"1,854",.,.,.,.,.,.,"3,665"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,457,"2,259",808,907,980,.,.,.,"1,503",.,"1,986",.,"2,858",.,"2,592",.,964,"15,314"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,191","7,942",.,907,"2,769",352,528,.,"1,869",.,.,.,"7,960",.,"4,162",.,"3,966","32,647"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"2,122","6,027","3,720","1,026","2,528",653,.,.,.,.,"3,652",.,"11,647",.,"3,013",.,"2,201","36,588"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",521,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,521
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"2,733",.,.,.,.,"2,733"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","3,068","1,924",.,.,.,.,.,.,376,.,.,.,"1,931",.,.,.,"1,467","8,766"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","1,753","6,397","1,112",.,.,.,.,.,376,.,"1,107",.,"7,984",.,"1,004",.,"5,135","24,868"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","4,821","3,659","1,819",907,654,.,.,.,752,.,"1,494",.,"8,451",.,"1,004",.,"4,265","27,826"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","2,630","2,403","2,527",.,"4,184",.,.,.,376,.,.,.,"11,062",.,"2,009",.,"3,966","29,156"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,"1,827",.,.,.,.,.,.,"1,827"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,704,.,980,711,.,.,.,360,.,.,"2,080",.,"1,004",.,"1,399","7,237"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","1,753","3,659","2,320",454,"5,953",301,.,.,.,.,"1,854",.,"11,983",.,"1,301",.,"3,531","33,111"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","14,136","13,463","1,401","1,361","11,695","1,312",.,.,"3,006",.,"2,077",.,"27,734",.,"3,940",.,"14,031","94,156"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","36,250","31,422","2,184","4,536","22,787","4,972","2,110",.,"4,885",.,"11,778",.,"88,749",.,"8,820",552,"39,237","258,281"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,327,.,.,.,.,.,.,.,386,.,.,.,"1,100","1,813"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,"1,220","1,900",454,"2,395",791,.,.,366,.,.,.,"1,143",.,"2,009",.,"2,568","12,843"
