"INSPECT_ID","SR_NUM","BEG_DATE","END_DATE","STATUS"
"150993","HCE-20150420-3201","03-JUN-15","08-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"150915","HCE-20141113-6781","03-JUN-15","03-JUN-15",""
"150913","HCE-20140804-4960","11-MAY-15","03-JUN-15",""
"150912","HCE-20150403-3078","03-JUN-15","03-JUN-15",""
"150866","HCE-20150415-3167","29-MAY-15","01-JUN-15",""
"150786","HCE-20150527-3940","20-MAY-15","28-MAY-15",""
"153896","HCE-20150410-3129","30-SEP-15","05-OCT-15",""
"153387","HCE-20150724-4855","10-SEP-15","14-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153379","HCE-20150430-3332","10-SEP-15","14-SEP-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150539","HCE-20150506-3393","11-MAY-15","12-MAY-15",""
"149693","HCE-20150317-2903","17-MAR-15","18-MAR-15",""
"147958","HCE-20140506-4093","12-NOV-14","05-DEC-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150720","HCE-20150130-2518","20-MAY-15","26-MAY-15",""
"150683","HCE-20150401-3069","18-MAY-15","21-MAY-15",""
"150460","HCE-20150317-2903","06-MAY-15","07-MAY-15",""
"152552","HCE-20150727-4868","13-AUG-15","14-AUG-15",""
"150504","HCE-20140107-2542","08-MAY-15","11-MAY-15","NO CAUSE FOR ACTION INSPECTION"
"150364","HCE-20150316-2891","27-APR-15","04-MAY-15",""
"149692","HCE-20150209-2585","17-MAR-15","18-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"147705","HCE-20140730-4882","20-NOV-14","21-NOV-14",""
"152247","HCE-20150609-4125","22-JUL-15","03-AUG-15",""
"150456","HCE-20150202-2533","22-APR-15","07-MAY-15",""
"154169","HCE-20150617-4243","15-OCT-15","15-OCT-15",""
"150343","HCE-20141030-6635","16-APR-15","01-MAY-15",""
"150255","HCE-20150312-2866","24-APR-15","27-APR-15","NO CAUSE FOR ACTION INSPECTION"
"149343","HCE-20150114-2379","25-FEB-15","26-FEB-15",""
"154147","HCE-20150814-5205","14-OCT-15","15-OCT-15","NO CAUSE FOR ACTION INSPECTION"
"154211","HCE-20150727-4878","16-OCT-15","16-OCT-15",""
"154184","HCE-20150521-3531","06-OCT-15","16-OCT-15",""
"154161","HCE-20150911-5570","14-OCT-15","15-OCT-15",""
"150252","HCE-20141104-6669","15-APR-15","27-APR-15",""
"148933","HCE-20140710-4122","28-JAN-15","29-JAN-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"147153","HCE-20130911-6375","22-OCT-14","23-OCT-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"154143","HCE-20150820-5313","09-OCT-15","15-OCT-15",""
"154029","HCE-20150819-5284","07-OCT-15","08-OCT-15",""
"149859","HCE-20150203-2550","25-MAR-15","31-MAR-15",""
"149656","HCE-20150112-2334","09-MAR-15","16-MAR-15",""
"149572","HCE-20140925-6148","10-MAR-15","11-MAR-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"154093","HCE-20150527-3940","09-OCT-15","13-OCT-15",""
"153940","HCE-20150806-5060","30-SEP-15","06-OCT-15",""
"153417","HCE-20150401-3069","14-JUL-15","15-SEP-15",""
"149855","HCE-20140731-4740","30-MAR-15","31-MAR-15",""
"149250","HCE-20141120-6883","17-FEB-15","19-FEB-15",""
"153675","HCE-20150813-5200","22-SEP-15","24-SEP-15",""
"149541","HCE-20150106-1043","11-FEB-15","10-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"149367","HCE-20150225-2740","26-FEB-15","27-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"147381","HCE-20140731-4754","04-NOV-14","05-NOV-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"153798","HCE-20150602-4015","30-SEP-15","30-SEP-15",""
"153776","HCE-20150817-5253","28-SEP-15","30-SEP-15",""
"153643","HCE-20150914-5589","22-SEP-15","23-SEP-15",""
"149533","HCE-20140912-5986","09-FEB-15","10-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"149426","HCE-20150122-2454","27-FEB-15","03-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"149419","HCE-20150120-2422","27-FEB-15","02-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"149418","HCE-20141215-7075","25-FEB-15","02-MAR-15",""
"149417","HCE-20140911-6043","24-FEB-15","02-MAR-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"149416","HCE-20141024-6565","25-FEB-15","02-MAR-15",""
"153565","HCE-20150810-5090","18-SEP-15","21-SEP-15",""
"153348","HCE-20150512-3469","10-SEP-15","14-SEP-15",""
"147310","HCE-20140820-5175","28-OCT-14","30-OCT-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"153371","HCE-20150731-4976","04-SEP-15","14-SEP-15",""
"153370","HCE-20150731-4978","04-SEP-15","14-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153363","HCE-20150522-3899","08-SEP-15","14-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153359","HCE-20150602-4010","10-SEP-15","14-SEP-15",""
"148888","HCE-20140929-6213","08-JAN-15","26-JAN-15",""
"148393","HCE-20140702-3906","17-DEC-14","22-DEC-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148748","HCE-20140506-4660","13-JAN-15","14-JAN-15",""
