SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,,,,,,,,Contacts,,,,,,,,,,,,,,,,,,,,,,
District Nursing (Core),"271,700","337,789","289,722","219,955","198,017",,,,,,,,,,,,,"1,317,183",,,,,,,,,,,,,,,,,,,,,,
Community Dental,"20,953","24,817","19,148","22,437","22,103",,,,,,,,,,,,,"109,458",,,,,,,,,,,,,,,,,,,,,,
Community Midwives,"52,048","75,065","69,389","100,370","71,737",,,,,,,,,,,,,"368,609",,,,,,,,,,,,,,,,,,,,,,
Community Psychiatric Nursing,"77,769","33,801","21,725","41,043","66,711",,,,,,,,,,,,,"241,049",,,,,,,,,,,,,,,,,,,,,,
Health Visiting,"88,286","182,643","88,624","136,631","134,144",,,,,,,,,,,,,"630,328",,,,,,,,,,,,,,,,,,,,,,
LD Nurses,"7,119","5,270","12,954","4,193","4,690",,,,,,,,,,,,,"34,226",,,,,,,,,,,,,,,,,,,,,,
Occupational Therapy,"92,675","74,311","47,400","100,080","46,246",,,,,,,,,,,,,"360,712",,,,,,,,,,,,,,,,,,,,,,
Physiotherapy,"144,970","137,105","134,207","144,625","94,817",,,,,,,,,,,,,"655,724",,,,,,,,,,,,,,,,,,,,,,
Podiatry,"69,562","83,799","54,569","46,036","57,100",,,,,,,,,,,,,"311,066",,,,,,,,,,,,,,,,,,,,,,
Speech and Language Therapy,"52,658","51,600","70,908","40,984","36,719",,,,,,,,,,,,,"252,869",,,,,,,,,,,,,,,,,,,,,,
Family Planning,"22,186","6,631",,"4,221","7,962",,,,,,,,,,,,,"41,000",,,,,,,,,,,,,,,,,,,,,,
Clinical Psychology,"32,055","26,484","29,205","17,087","24,270",,,,,,,,,,,,,"129,101",,,,,,,,,,,,,,,,,,,,,,
Dietetics,"22,040","21,116","11,332","18,376","14,867",,,,,,,,,,,,,"87,731",,,,,,,,,,,,,,,,,,,,,,
Orthoptics,"9,768","14,986","7,438","9,253","11,855",,,,,,,,,,,,,"53,300",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Active Caseload,Active Caseload,Active Caseload,Active Caseload,Active Caseload,,,,,,,,,,,,,Active Caseload,,,,,,,,,,,,,,,,,,,,,,
Social Work POC 3,"7,084","6,281","5,944","5,757","7,461",,,,,,,,,,,,,"32,527",,,,,,,,,,,,,,,,,,,,,,
Social Work POC 4,"8,637","10,091","6,787","5,818","6,238",,,,,,,,,,,,,"37,571",,,,,,,,,,,,,,,,,,,,,,
Social Work POC 5,"2,272","2,656",705,"3,882",759,,,,,,,,,,,,,"10,274",,,,,,,,,,,,,,,,,,,,,,
Social Work POC 6,"2,244","2,258","2,625","2,519","2,100",,,,,,,,,,,,,"11,746",,,,,,,,,,,,,,,,,,,,,,
Social Work POC 7,"1,807","1,441","2,453","1,911","1,482",,,,,,,,,,,,,"9,094",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Hours delivered,Hours delivered,Hours delivered,Hours delivered,Hours delivered,,,,,,,,,,,,,Hours delivered,,,,,,,,,,,,,,,,,,,,,,
