"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U8037_19 - PINEHILL GDS1: PINEHILL AV TO END -  NORTH DOWN","NORTH DOWN","Surface Type",113,113,353020,380501
"7065C0252_09 - GRANSHA RD1: GRANSHA RD S (A48) TO 30 MPH SIGNS -  NORTH DOWN","NORTH DOWN","Surface Type",1067,1067,352316,378971
"7065C0252_09 - GRANSHA RD1: GRANSHA RD S (A48) TO 30 MPH SIGNS -  NORTH DOWN","NORTH DOWN","Surface Type",1085,1085,352306,378984
"7065U8029_02 - BREEZEMOUNT PK1: GREEN RD TO BREEZEMOUNT PK AT NO.57 (JUNCTION) -  NORTH DOWN","NORTH DOWN","Surface Type",166,166,350536,378380
"7065U8029_02 - BREEZEMOUNT PK1: GREEN RD TO BREEZEMOUNT PK AT NO.57 (JUNCTION) -  NORTH DOWN","NORTH DOWN","Surface Type",179,179,350532,378366
"7065U8003_63 - BALLIGAN GDS1: BALLIGAN GDS1 TO END -  NORTH DOWN","NORTH DOWN","Surface Type",81,81,348918,380393
"7065U8003_63 - BALLIGAN GDS1: BALLIGAN GDS1 TO END -  NORTH DOWN","NORTH DOWN","Surface Type",85,85,348917,380389
"7065U8003_64 - CARROWDORE GDS1: OWENROE DR TO END -  NORTH DOWN","NORTH DOWN","Surface Type",26,26,348848,380558
"7065U8023_24 - BROOKLYN PK1: GROOMSPORT RD B511 TO END -  NORTH DOWN","NORTH DOWN","Surface Type",52,52,352318,382138
"7065U8023_24 - BROOKLYN PK1: GROOMSPORT RD B511 TO END -  NORTH DOWN","NORTH DOWN","Surface Type",53,53,352323,382140
"7065U8110_01 - FIRMOUNT CRE1: OLD HOLYWOOD RD TO OLD HOLYWOOD RD S -  NORTH DOWN","NORTH DOWN","Surface Type",10,10,339515,377628
"7065U8110_01 - FIRMOUNT CRE1: OLD HOLYWOOD RD TO OLD HOLYWOOD RD S -  NORTH DOWN","NORTH DOWN","Surface Type",10,10,339517,377623
"7065U8023_25 - RIVERSIDE PK1: RIVERSIDE TO END -  NORTH DOWN","NORTH DOWN","Surface Type",7,7,352614,381627
"7065A0002_76 - SOUTH CIRCULAR RD1: NEWTOWNARDS RD RBT - BLOOMFIELD RBT -  NORTH DOWN","NORTH DOWN","Surface Type",6,6,350113,380006
"7065U8024_22 - BROADWAY1: DONAGHADEE RD B21 TO FAIRFIELD RD -  NORTH DOWN","NORTH DOWN","Surface Type",641,641,351335,381310
"7065U8024_22 - BROADWAY1: DONAGHADEE RD B21 TO FAIRFIELD RD -  NORTH DOWN","NORTH DOWN","Surface Type",738,738,351383,381227
"7065U8003_47 - CARDY CL1: LOVEROCK WAY TO END -  NORTH DOWN","NORTH DOWN","Surface Type",78,78,349020,380400
