Disease,Week 5,Week 4,Week 3,Week 2,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,5,1,1,10,6,11,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,1,1,1,1,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,38,21,11,45,146,155,145,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,0,1,2,3,0,, ,,,,,,
Food Poisoning,40,32,24,34,155,122,104,, , ,,,,,
Gastroenteritis (< 2years),0,1,0,5,23,34,55,, , ,,,,,
Hepatitis A,0,0,0,0,2,0,0,,, , , ,,,
Hepatitis B,0,0,0,1,2,4,14,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,1,0,0,1,0,3,,, ,,, ,,
Measles,0,1,0,0,2,3,4,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,2,2,4,,, , , , ,,
Mumps,17,23,12,13,75,46,10,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,14,4,9,4,41,39,36,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,1,0,, , ,,,,,
Tuberculosis (Pulmonary),3,1,2,0,6,5,3,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,0,3,3,3,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,1,2,2,1,8,5,1,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,115,92,61,106,479,431,394,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
