HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,"7,957","17,291","10,848",.,.,"11,356",755,.,"19,094",.,.,.,.,"67,300"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","17,446","23,391",.,.,"13,538",.,.,.,"4,660",.,.,"109,804",.,"20,346",.,.,"189,186"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","65,607","1,203","7,181","10,614","22,830","3,196",.,.,740,.,"13,354","95,066","8,361","14,439",.,"5,311","247,902"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","50,538","42,483","6,626","6,084","12,193","9,298","7,725",.,740,"12,086","9,267","203,393",.,"1,313",.,"22,107","383,853"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","48,817","81,131","3,352","17,075","66,681","14,158","3,772",.,"9,301",.,"19,847","233,110",.,"12,961",.,"59,008","569,213"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"6,597",.,.,.,"1,743","3,605",.,"15,978",.,.,"7,082","1,320",.,.,.,"36,325"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"19,402","4,646","21,542","7,147","28,556","3,605",.,"1,110",.,"2,580","41,171","4,401",.,.,"25,157","159,316"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"48,785","29,500",.,"36,974","20,310","17,684",.,.,.,.,"13,380","112,142","12,762","18,505",.,"45,104","355,147"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"28,993","31,155","1,408","8,425","10,534","7,944",.,.,"1,849",.,973,"161,958",.,"14,788",.,"24,888","292,914"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"18,727","3,903",.,"15,044","13,163","2,334",.,.,.,.,"6,889","133,806",.,"1,028",.,"12,923","207,817"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"47,285",.,"2,340","13,161",581,.,.,.,.,.,"21,347","8,801",.,.,"14,859","108,375"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","30,863","17,640","29,665","14,509","5,638","2,906",.,.,.,.,"12,795","18,745",.,"24,151",.,"6,749","163,662"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","20,234","21,130","8,448","6,893","8,275","8,532",.,.,"5,326",.,"5,000","11,634",.,"33,427",.,"13,420","142,319"
