Date Printed:,,08/30/2016 08:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/24/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,746.9,.000 C ,22.2,17.7, D ,28.7,.000 C ,50,1.6
01:00,746.6,.000 C ,22.2,17.4, D ,21.4,.000 C ,53,1.8
02:00,746.7,.000,22.3,16.8, D ,36.8,.000,20,1.6
03:00,746.7,.000,22.3,16.3, D ,42.4 - ,.000,28,1.6
04:00,746.7,.000,22.4,16.1, D ,22.6,.000,50,1.4
05:00,746.9,.000,22.4,16.1, D ,19.7,.000,62,1.7
06:00,747.0,.001,22.4,17.3, D ,27.3,.000,80,1.6
07:00,747.1,.002,22.3,19.6, D ,50.9,.000,210,1.9
08:00,747.2,.001,22.4,21.7, D ,41.3,.000,162,3.4
09:00,746.8, D ,21.9,23.6, D ,39.3,.000,166,3.4
10:00,746.4, D ,21.0,25.9, D ,45.8, D ,163,3.7
11:00,746.1, D ,21.4,27.1, D ,41.9, D ,212,5.7
12:00,745.5,.000,21.7,27.8, D ,40.9,.000,213,6.4
13:00,745.1,.000,21.4,28.8, D ,43.8,.000,224,6.1
14:00,744.6,.000,21.2,29.3, D ,46.4,.000,222,6.7
15:00,743.9,.000,21.4,29.8, D ,44.9,.000,217,5.4
16:00,743.6,.000,21.4,29.7, D ,54.2,.000,208,5.2
17:00,743.6,.000,21.2,29.3, D ,38.0,.000,220,5.7
18:00,743.4,.000,21.5,28.2, D ,39.3,.000,211,4.1
19:00,743.3,.000,21.7,27.2, D ,30.8,.000,200,3.3
20:00,743.3,.000,21.7,26.4, D ,30.8,.000,176,2.9
21:00,743.3,.000,21.7,25.6, D ,28.5,.000,180,3.3
22:00,743.0,.000,21.8,25.1, D ,30.6,.000,170,3.8
23:00,742.5,.000,21.8,24.5, D ,32.3,.000,177,3.8
Avg,745.2,.000,21.8,23.6,,36.6,.000,177,3.5
Max,747.2,.002,22.4,29.8, D ,54.2,.000,224,6.7
Hr. of Max,08,07,08,15,,16,23,13,14
Min,742.5,.000,21.0,16.1, D ,19.7,.000,20,1.4
Count,24,21,24,24,0,24,22,24,24
Total,,,,,,,,,
Date Printed:,,08/30/2016 08:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/25/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,742.3,.000 C ,21.8,24.2, D ,31.6,.000 C ,166,4.3
01:00,742.0,.000 C ,21.8,24.2, D ,32.7,.000 C ,170,4.6
02:00,741.6,.000,21.8,24.5, D ,33.4,.000,176,4.9
03:00,741.6,.000,21.8,24.4, D ,34.4,.000,198,5.3
04:00,741.7,.000,21.9,22.8, D ,40.4,.000,230,6.4
05:00,741.8,.000,22.0,22.5, D ,30.6,.000,275,4.5
06:00,742.2,.000,22.0,22.6, D ,42.8,.000,287,2.9
07:00,742.5,.000,22.0,23.2, D ,52.7,.000,214,2.8
08:00,742.8,.000,21.9,24.2, D ,35.8,.000,240,4.7
09:00,742.8,.000,21.8,25.4, D ,32.0,.000,251,5.6
10:00,742.5,.000,21.8,26.7, D ,35.1,.000,239,5.4
11:00,742.4,.000,21.7,27.6, D ,34.1,.000,237,5.6
12:00,742.2, D , D , D , D ,36.1, D ,254,6.1
13:00,742.0,.000,21.2,29.5, D ,30.7,.000,255,6.1
14:00,741.5,.000,21.0,30.3, D ,39.9,.000,233,6.2
