HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Average
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,587",.,.,.,.,.,"1,587"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,"4,391",.,.,.,.,.,.,.,.,.,"4,391"
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,819,.,.,.,.,.,.,.,.,.,.,.,.,.,819
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,332,.,.,.,.,.,332
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,"1,076",.,.,.,.,.,479,.,.,383,.,510
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",349,.,.,.,.,.,.,"1,076",.,.,.,.,"4,420",492,.,.,383,.,955
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,332,656,.,.,.,.,521
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,220,.,233,.,.,.,.,.,863,.,.,355,515,.,.,995,.,383
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",921,.,.,.,262,.,.,.,.,863,.,.,332,460,.,.,638,.,480
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,376,.,.,.,.,.,269,.,.,.,.,.,274
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,520,.,.,.,.,.,448
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,233,.,137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,116,.,.,376,.,.,.,.,.,720,.,.,.,.,.,260
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",466,.,365,205,.,522,376,.,281,.,.,246,243,.,.,.,479,.,363
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,383,.,250
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,891,.,662
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",305,222,365,483,15,527,391,388,639,.,852,.,235,396,.,.,359,.,407
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,241,.,.,.,.,.,241
