Place,Name,Number,Year
1,Jessica,375,1999
2,Georgia,354,1999
3,Emma,349,1999
4,Olivia,343,1999
5,Hannah,332,1999
6,Grace,285,1999
7,Sarah,282,1999
8,Sophie,256,1999
9,Samantha,244,1999
10,Emily,235,1999
11,Caitlin,225,1999
12,Ella,184,1999
13,Tayla,175,1999
14,Brooke,163,1999
15,Rebecca,162,1999
16,Shania,159,1999
17,Courtney,158,1999
18,Kate,158,1999
19,Madison,152,1999
20,Charlotte,150,1999
21,Lucy,138,1999
22,Paige,134,1999
23,Jade,133,1999
24,Chloe,132,1999
25,Anna,131,1999
26,Amy,129,1999
27,Laura,129,1999
28,Isabella,126,1999
29,Danielle,125,1999
30,Nicole,125,1999
31,Ruby,122,1999
32,Holly,121,1999
33,Victoria,119,1999
34,Jasmine,116,1999
35,Ashleigh,113,1999
36,Paris,106,1999
37,Lauren,102,1999
38,Brittany,100,1999
39,Megan,98,1999
40,Taylor,98,1999
41,Alexandra,95,1999
42,Rachel,95,1999
43,Mikayla,94,1999
44,Hayley,92,1999
45,Kayla,91,1999
46,Elizabeth,90,1999
47,Nikita,89,1999
48,Claudia,88,1999
49,Amber,87,1999
50,Katie,86,1999
51,Chelsea,85,1999
52,Natasha,85,1999
53,Zoe,85,1999
54,Maddison,84,1999
55,Aimee,82,1999
56,Abigail,80,1999
57,Brianna,80,1999
58,Rose,80,1999
59,Alice,79,1999
60,Eden,77,1999
61,Amelia,76,1999
62,Monique,75,1999
63,Lily,74,1999
64,Ashley,72,1999
65,Phoebe,71,1999
66,Michaela,68,1999
67,Shannon,68,1999
68,Cheyenne,67,1999
69,Alyssa,66,1999
70,Stephanie,66,1999
71,Melissa,65,1999
72,Jamie,64,1999
73,Sophia,64,1999
74,Maia,61,1999
75,Molly,61,1999
76,Casey,58,1999
77,Maria,58,1999
78,Rebekah,58,1999
79,Jessie,57,1999
80,Gabrielle,55,1999
81,Michelle,55,1999
82,Morgan,53,1999
83,Angel,52,1999
84,Tegan,52,1999
85,Tiana,52,1999
86,Caitlyn,51,1999
87,Renee,51,1999
88,Julia,50,1999
