Disease,Week 36,Week 35,Week 34,Week 33,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,1,0,32,43,39,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,7,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,9,10,18,27,1229,1389,1300,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,0,0,2,29,15,4,, ,,,,,,
Food Poisoning,45,51,38,57,1324,1304,1236,, , ,,,,,
Gastroenteritis (< 2years),1,4,0,0,175,333,464,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,4,,, , , ,,,
Hepatitis B,0,1,1,2,74,89,75,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,1,1,1,9,3,7,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,1,, , , , ,,,
Malaria,0,0,1,0,3,5,4,,, ,,, ,,
Measles,0,0,0,0,13,13,51,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,10,18,21,,, , , , ,,
Mumps,4,2,2,0,194,46,637,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,10,,, ,,,,,
Scarlet Fever,0,2,3,4,306,541,149,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,1,0,25,52,27,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,2,0,23,24,26,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,5,8,4,0,80,22,69,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,66,80,72,93,3546,3913,4133,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
