Disease,Week 6,Week 5,Week 4,Week 3,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,3,1,5,1,13,7,12,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,1,1,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,22,38,21,11,168,155,187,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,1,0,0,2,5,0,, ,,,,,,
Food Poisoning,38,40,32,24,193,151,135,, , ,,,,,
Gastroenteritis (< 2years),1,0,1,0,24,39,59,, , ,,,,,
Hepatitis A,0,0,0,0,2,1,0,, , , , ,,,
Hepatitis B,0,0,0,2,5,14,17,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,1,0,1,0,4,,, ,,, ,,
Measles,2,0,1,0,3,2,4,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,2,2,5,,, , , , ,,
Mumps,16,17,23,12,91,52,11,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,13,14,4,9,54,61,45,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),0,3,1,2,6,6,6,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,1,0,4,3,6,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,4,1,2,2,12,5,1,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,100,115,92,63,581,509,493,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
