Disease,Week 3,Week 2,Week 1,Week 52,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,1,2,0,5,7,3,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,48,46,0,22,94,11,78,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,1,2,0,0,3,0,0,, ,,,,,,
Food Poisoning,21,29,23,20,73,60,49,, ,,,,,,
Gastroenteritis (< 2years),6,4,7,6,17,25,28,,, ,,,,,
Hepatitis A,0,0,0,0,0,0,0,,,, , ,,,
Hepatitis B,2,1,2,2,5,6,5,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,1,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,1,2,0,0,3,3,8,, , , , ,,,
Meningococcal Septicaemia,0,1,0,0,1,1,4,,, , , , ,,
Mumps,9,5,3,1,17,4,92,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,1,0,1,1,2,0,0,,, ,,,,,
Scarlet Fever,8,4,8,1,20,3,14,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,0,0,0,, ,,,,,,
Tuberculosis (Pulmonary),2,0,0,0,2,2,1,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,2,0,2,3,1,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,2,1,0,1,3,0,12,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,103,96,48,54,247,125,296,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,,,,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
