Disease,Week 3,Week 2,Week 1,Week 53,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,1,2,1,4,5,7,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,1,0,1,1,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,11,45,31,8,87,94,11,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,1,0,1,1,3,0,, ,,,,,,
Food Poisoning,24,34,25,22,83,73,60,, , ,,,,,
Gastroenteritis (< 2years),0,5,17,3,22,14,28,, , ,,,,,
Hepatitis A,0,0,2,0,2,0,0,,, , , ,,,
Hepatitis B,0,1,1,0,2,6,6,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,0,0,0,0,0,2,3,, , , , ,,,
Meningococcal Septicaemia,0,0,2,0,2,1,1,,, , , , ,,
Mumps,12,13,10,22,35,10,4,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,9,4,10,0,23,20,3,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,0,0,, , ,,,,,
Tuberculosis (Pulmonary),2,0,0,1,2,2,2,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,2,0,2,2,3,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,1,2,2,5,3,0,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,61,106,104,61,271,237,128,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
