Neighborhood,Sector #,Population (2010),Total Age 16+ N'hood Residents Employed (2010 Est.),Resident Jobs: Construction,Resident Jobs: Manufacturing,Resident Jobs: Retail Trade,"Resident Jobs: Transportation, warehousing, utilities",Resident Jobs: Information,"Resident Jobs: Finance, insurance, real estate","Resident Jobs: Prof, scientific, admin, and waste mgmt","Resident Jobs: Educ, health and social svc","Resident Jobs: Arts, ent, recreation, accommodation and food services",Resident Jobs: Public admin,Resident Jobs: Other,Total # Jobs Located in N'hood (2000 - latest yr. avail.),Jobs in 'Hood: Construction,Jobs in 'Hood: Manufacturing,Jobs in 'Hood: Retail trade,"Jobs in 'Hood: Transport, warehousing, utilities",Jobs in 'Hood: Information,"Jobs in 'Hood: Finance, insurance, real estate","Jobs in 'Hood: Prof, scientific, admin, and waste mgmt","Jobs in 'Hood: Educ, health, and social svc","Jobs in 'Hood: Arts, ent, recreation, accommodation and food services",Jobs in 'Hood: Public admin,Jobs in 'Hood: Other
Allegheny Center,3,933,386,3.1%,1.8%,11.9%,0.0%,0.0%,10.4%,5.4%,42.7%,19.7%,1.0%,3.9%,"5,410",3.1%,9.4%,1.8%,7.7%,8.5%,21.3%,9.3%,25.8%,6.7%,2.0%,4.4%
Allegheny West,3,462,151,0.0%,6.6%,0.0%,14.6%,0.0%,0.0%,11.3%,25.2%,36.4%,6.0%,0.0%,"1,294",1.2%,12.4%,3.1%,0.3%,0.8%,6.6%,3.9%,48.7%,4.6%,1.9%,16.6%
Allentown,6,"2,500",858,4.2%,7.8%,11.9%,5.6%,2.3%,8.4%,13.2%,27.5%,10.6%,1.4%,7.1%,355,7.0%,0.0%,31.0%,8.5%,0.0%,4.2%,8.5%,14.1%,8.5%,2.8%,15.5%
Arlington,7,"1,869",685,7.2%,13.0%,12.3%,1.8%,5.0%,0.9%,9.2%,27.3%,8.3%,0.0%,15.2%,62,16.1%,6.5%,0.0%,0.0%,6.5%,0.0%,0.0%,64.5%,0.0%,0.0%,6.5%
Arlington Heights,7,244,72,0.0%,0.0%,13.9%,0.0%,0.0%,29.2%,0.0%,18.1%,27.8%,0.0%,11.1%,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Banksville,5,"4,144","2,532",5.4%,4.9%,11.1%,1.9%,1.8%,10.7%,11.5%,21.0%,9.6%,8.3%,13.8%,"1,839",4.9%,7.3%,17.4%,0.0%,4.1%,5.4%,8.4%,23.7%,12.8%,0.2%,15.8%
Bedford Dwellings,15,"1,202",358,0.0%,7.5%,0.0%,12.3%,0.0%,2.8%,2.2%,54.7%,2.2%,6.4%,11.7%,34,0.0%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.2%,0.0%,0.0%
Beechview,5,"7,974","4,096",5.6%,5.9%,11.8%,2.8%,2.7%,7.7%,9.4%,25.2%,17.1%,5.0%,6.8%,"2,134",15.0%,4.0%,22.0%,4.0%,0.5%,3.7%,8.4%,17.6%,8.9%,2.8%,13.1%
Beltzhoover,6,"1,925",706,0.0%,1.3%,13.6%,10.6%,7.6%,15.0%,11.2%,22.2%,8.9%,1.0%,8.5%,411,2.4%,12.2%,2.4%,37.7%,2.4%,1.0%,13.4%,21.9%,1.0%,1.0%,4.6%
Bloomfield,12,"8,442","5,227",3.0%,4.9%,8.7%,1.8%,3.6%,3.8%,8.6%,36.2%,16.3%,1.9%,11.2%,"6,799",2.3%,4.1%,12.5%,2.1%,1.9%,4.1%,4.5%,49.4%,10.1%,1.2%,7.9%
Bluff,15,"6,600","1,491",0.0%,3.6%,19.4%,0.6%,2.6%,2.7%,5.6%,34.9%,30.0%,0.0%,0.6%,"8,800",1.9%,2.1%,3.2%,1.1%,1.3%,1.8%,8.2%,72.4%,1.5%,3.1%,3.4%
Bon Air,6,808,461,15.4%,6.9%,20.6%,2.6%,2.2%,8.9%,10.6%,16.7%,4.3%,4.8%,6.9%,182,0.0%,13.7%,8.2%,2.2%,5.5%,0.0%,2.2%,13.7%,41.2%,0.0%,13.2%
Brighton Heights,2,"7,247","3,979",2.2%,5.6%,12.3%,4.9%,2.8%,11.5%,9.5%,26.4%,9.0%,7.2%,8.7%,917,8.7%,7.5%,4.3%,4.9%,0.9%,5.9%,6.4%,28.4%,9.8%,1.1%,22.1%
Brookline,5,"13,214","7,454",6.5%,4.5%,8.7%,7.1%,2.1%,6.9%,10.6%,25.2%,10.7%,7.7%,10.0%,"2,315",9.9%,14.9%,14.9%,5.4%,0.6%,4.5%,7.3%,20.7%,5.4%,2.1%,14.3%
California-Kirkbride,3,761,227,0.0%,22.5%,4.4%,0.0%,17.6%,7.5%,5.7%,42.3%,0.0%,0.0%,0.0%,"2,504",0.0%,1.8%,2.6%,80.1%,0.6%,1.8%,0.6%,2.8%,0.6%,6.8%,2.4%
Carrick,5,"10,113","4,917",5.1%,8.6%,13.0%,6.5%,3.9%,6.5%,10.7%,24.5%,8.6%,4.4%,8.2%,"1,948",5.1%,5.4%,23.4%,1.0%,1.3%,15.3%,3.3%,19.0%,13.1%,0.8%,12.3%
