objectid,pghdbsdeLandslide_Pronearea,perimeter,landslid_,landslid_i,code,acres,sqmiles
1,39699313.631035,119881.120858,2,37,p,911.371,1.424
2,31429225.665259,110063.015183,3,30,p,721.516,1.127
3,834469.954003,4699.170345,4,32,p,19.157,0.03
4,1077809.770059,13405.203118,7,9,p,24.743,0.039
6,10738419.732139,59364.298108,9,7,p,246.52,0.385
7,417559.494415,2911.496049,10,5,p,9.586,0.015
8,169876.930184,2593.456344,11,6,p,3.9,0.006
9,4870502.832855,39007.570947,13,3,p,111.811,0.175
5,19762956.522348,103794.361469,8,8,p,453.695,0.709
10,3682433.690761,19646.046695,14,31,p,84.537,0.132
11,72036.713364,1227.278899,15,4,p,1.654,0.003
12,597201.387541,6205.302056,16,34,p,13.71,0.021
13,272089.948901,2590.862298,17,33,p,6.246,0.01
14,241109.962594,3685.238819,19,36,p,5.535,0.009
15,1886842.150577,16863.725265,21,35,p,43.316,0.068
16,24777616.013463,126100.773322,22,24,p,568.816,0.889
17,1935050.862383,14959.919181,23,22,p,44.423,0.069
34,532310.425809,4518.133967,41,1,p,12.22,0.019
18,1689104.679294,18260.868653,24,11,p,38.777,0.061
19,22518519.108698,72229.612087,25,10,p,516.954,0.808
20,584961.552968,5898.406463,27,23,p,13.429,0.021
21,366625.302639,5572.125858,28,29,p,8.417,0.013
22,45938671.595224,149761.984727,29,2,p,1054.607,1.648
23,5241479.79412,46847.513315,30,12,p,120.328,0.188
24,7541034.345131,42293.948709,31,13,p,173.118,0.27
31,3911807.716572,22013.525762,38,28,p,89.803,0.14
35,866702.731284,9889.071429,42,18,p,19.897,0.031
25,8972818.191711,40990.153933,32,16,p,205.988,0.322
26,8733023.956346,53577.13207,33,17,p,200.483,0.313
27,8381500.873621,40792.343726,34,25,p,192.413,0.301
28,8103961.252123,44161.510745,35,26,p,186.041,0.291
32,4945691.749716,16895.737099,39,15,p,113.537,0.177
29,22887674.553926,83709.229125,36,14,p,525.429,0.821
30,2161441.052639,13696.816064,37,27,p,49.62,0.078
33,4059882.052324,19358.501937,40,19,p,93.202,0.146
36,9428644.669736,42631.108951,43,20,p,216.452,0.338
37,12225066.931553,36743.192758,44,21,p,280.649,0.439
