Disease,Week 2,Week 1,Week 53,Week 52,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,2,1,1,3,3,5,,, ,,,,,
Acute Encephalitis/Meningitis Viral,1,0,1,0,1,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,45,31,8,8,76,46,11,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,1,0,1,2,0,, ,,,,,,
Food Poisoning,34,25,22,15,59,52,30,, , ,,,,,
Gastroenteritis (< 2years),5,19,3,1,24,8,17,, , ,,,,,
Hepatitis A,0,2,0,0,2,0,0,,, , , ,,,
Hepatitis B,1,0,0,0,1,3,5,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,0,0,0,0,0,2,2,, , , , ,,,
Meningococcal Septicaemia,0,2,0,2,2,1,0,,, , , , ,,
Mumps,12,11,22,6,23,8,0,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,1,0,,, ,,,,,
Scarlet Fever,4,10,0,2,14,12,3,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,1,0,0,0,1,, , ,,,,,
Tuberculosis (Non Pulmonary),0,2,0,2,2,2,1,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,0,2,2,1,2,1,0,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,104,106,61,38,210,141,75,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
