Disease,Week 21,Week 20,Week 19,Week 18,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,1,22,32,22,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,2,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,36,44,37,40,786,1028,782,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,1,0,0,2,18,4,2,, ,,,,,,
Food Poisoning,42,40,40,35,640,587,581,, ,,,,,,
Gastroenteritis (< 2years),0,0,3,7,109,170,359,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,2,,,, , ,,,
Hepatitis B,0,1,0,1,43,55,39,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,2,3,4,,, ,, ,, ,
Leptospirosis,1,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,1,4,3,,, ,,, ,,
Measles,1,0,0,1,10,10,41,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,12,12,,, , , , ,,
Mumps,7,3,2,5,136,24,513,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,3,3,7,,, ,,,,,
Scarlet Fever,7,7,10,20,240,428,119,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),0,1,0,1,18,35,13,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,1,0,14,18,16,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,2,5,3,4,26,16,52,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,97,101,96,117,2090,2434,2571,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
