Critical Care Services,Altnagelvin ,Antrim ,BCH,Causeway ,Craigavon Area ,Downe,Daisy Hill ,Greenpark,Lagan Valley ,Mater,Mid-Ulster ,Musgrave Park ,Royal Victoria ,South West Acute,Ulster ,Average,,
Coronary Intensive Care,,,,,,,,,,,,,"1,746",,,"1,746",,
High Dependency Unit,"2,342",,"1,133",,,,598,,,,,599,"1,132","2,479",,"1,087",,
Intensive Care Units,"3,085","2,117","2,512","1,861","2,134",,,,,"1,668",,,"2,238","4,775","2,188","2,284",,
Neonatal Care Services,832,"1,035",,,"1,090",,"1,017",,,,,,"1,126","1,671",820,"1,043",,
Paediatric Intensive Care,,,,,,,,,,,,,"2,690",,,"2,690",,
Renal Dialysis,Altnagelvin,Antrim,BCH,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,South Tyrone,Royal,Tyrone County,Ulster,Average,,
Inpatients,,401,297,,,247,,,,,,,319,,383,307,,
Daycases,340,240,239,,,252,,,,,,,594,300,271,265,,
Outpatients,,,,,,,,,,,,,,,,,,
Rehabilitation Services,Altnagelvin,Antrim,BCH,Causeway,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Mullinure,Royal,South West Acute,Tyrone County,Ulster,Whiteabbey,Average
Stroke - Children,,,,,,,,,,,,,,,,,,
Stroke - Adults,,,359,434,,,,,,,523,,528,,,,,520
Brain Injury - Children,,,,,,,,,,,,,,,,,,
Brain Injury - Adults,,,,,,,623,,,,,,,,,,,623
Other Neurological - Children,,,,,,,,,,,,,,,,,,
Other Neurological - Adults,,,,430,,,,,,,,,,,,,,430
Elderly,,,359,439,,,299,,,,,,528,896,321,,363,338
Spinal Injuries,,,,454,,,499,,,,,,,,,,,499
Other,,,,436,,,,,,,,,,,,,,436
