X,Y,FID,PERIMETER,PUBLICBL_I,FACILITY,FACILITY_C,ADDRESS,CITY,ZIPCODE,CLASS,MUNICODE
-80.054719782045282,40.456675241539934,1,0,42,Sheraden Park Entrance Building,B318,Thornton St,Pittsburgh,15205,City of Pittsburgh,100
-79.996966999052276,40.441796242312364,2,0,29,Mellon Square Park Building,B355,Sixth Ave,Pittsburgh,15219,City of Pittsburgh,100
-79.889999855109551,40.467094871807795,3,0,3,Chadwick Maintenance Building,B263,Oberlin & Mingo St,Pittsburgh,15206,City of Pittsburgh,100
-80.004928374695496,40.41910842236372,4,0,27,Mckinley Southern Division Service Garage,B201,Gearing Ave,Pittsburgh,15210,City of Pittsburgh,100
-79.968665888185498,40.523490524714035,5,0,59,Shaler Township Building,,300 Wetzel Rd,Glenshaw,15116,,944
-80.023594329079287,40.440726158994323,6,0,16,Grandview Radio Tower Building,B280,Grandview Ave,Pittsburgh,15211,City of Pittsburgh,100
-79.872222178047537,40.349326330929372,7,0,101,Port Vue Borough Building,,1191 Romine Ave,Port Vue,15133,,848
-80.003089683176356,40.427336601131856,8,0,15,Grandview Overlook Building,B207,Bailey Ave,Pittsburgh,15211,City of Pittsburgh,100
-79.867998529317518,40.410651951718073,9,0,102,Rankin Borough Building,,320 Hawkins Ave,Rankin,15104,,849
-79.941316903978873,40.434424087904226,10,0,37,Schenley Nature Museum,B066,Panther Hollow Rd,Pittsburgh,15217,City of Pittsburgh,100
-79.751971217336234,40.600967326837193,11,0,108,Tarentum Borough Building,,318 Second Ave,Tarentum,15084,,855
-80.08526572779715,40.385809762476462,12,0,58,Scott Township Building,,2600 Old Greentree Rd,Carnegie,15106,,941
-79.975175094927721,40.373515908948754,13,0,33,Brentwood Borough Building,,3624 Brownsville Rd,Pittsburgh,15227,,810
-80.066424126439216,40.445338072467642,14,0,88,Ingram Borough Building,,40 W Prospect Ave,Pittsburgh,15205,,835
-79.925032078368289,40.494665602101939,15,0,105,Sharpsburg Borough Building,,1611 Main St,Pittsburgh,15215,,852
-80.087873796540322,40.392604604771982,16,0,86,Heidelberg Borough Building,,1631 Railroad St,Heidelberg,15106,,833
-80.087793316482674,40.433707593447465,17,0,109,Thornburg Borough Building,,235 Tech Rd,Pittsburgh,15205,,856
-79.856622892419068,40.325336843506797,18,0,90,Liberty Borough Building,,2921 Liberty Way,McKeesport,15133,,837
-79.824822210498112,40.404983606888926,19,0,111,Turtle Creek Borough Building,,125 Monroeville Ave,Turtle Creek,15145,,858
-79.79727703973542,40.53871235191189,20,0,68,Cheswick Borough Building,,220 South Atlantic Ave,Cheswick,15024,,815
-80.123379126364043,40.481786329638474,21,0,40,Kennedy Township Building,,340 Forest Grove Rd,Coraopolis,15108,,919
-80.07926742035842,40.582530898540732,22,0,12,Franklin Park Borough Building,,2344 West Ingomar Rd,Pittsburgh,15237,,884
-79.903632638379264,40.401490852498462,23,0,118,Whitaker Borough Building,,1705 Maple St,Homestead,15120,,865
-79.859997688715865,40.494418976726642,24,0,29,Blawnox Borough Building,,376 Freeport Rd,Pittsburgh,15238,,806
-80.101695535759205,40.520922251234559,25,0,41,Kilbuck Township Building,,343 Eicher Rd,Pittsburgh,15237,,920
-80.056205532789107,40.465906147509223,26,0,95,McKees Rocks Borough Building,,340 Bell Ave,McKees Rocks,15136,,842
-79.805136830538331,40.552463390954401,27,0,63,Springdale Township Building,,1331 Pillow Ave,Harwick,15049,,948
-79.986496262140932,40.416529068256011,28,0,92,Mount Oliver Borough Building,,150 Brownsville Rd,Pittsburgh,15210,,839
-80.045246635255921,40.378509527702533,29,0,45,Mount Lebanon Township Building,,710 Washington Rd,Pittsburgh,15228,,926
-79.904281444592542,40.399241928653673,30,0,93,Munhall Borough Building,,1900 West St,Munhall,15120,,840
-79.883186663129734,40.504743791256217,31,0,121,Fox Chapel Borough Building,,401 Fox Chapel Rd,Pittsburgh,15238,,868
-79.928600077566571,40.350196770994614,32,0,123,West Mifflin Borough Building,,3000 Lebanon Church Rd,West Mifflin,15122,,870
-79.867930331837556,40.403628068277371,33,0,31,Braddock Borough Building,,415 Sixth St,Braddock,15104,,808
-80.101413047694138,40.428668758935096,34,0,124,Pennsbury Village Borough Building,,1043 Pennsbury Blvd,Pittsburgh,15205,,871
-79.867790898293237,40.424011230282922,35,0,125,Braddock Hills Borough Building,,1300 Brinton Rd,Pittsburgh,15221,,872
-80.003994998710482,40.288308298103424,36,0,60,South Park Township Building,,2675 Brownsville Rd,Library,15129,,945
-80.087714328302496,40.639750080716276,37,0,32,Bradford Woods Borough Building,,4908 Wexford Run Rd,Bradford Woods,15015,,809
-80.072519806453869,40.484533739594362,38,0,64,Stowe Township Building,,1301 Island Ave,McKees Rocks,15136,,949
-79.760066147252147,40.426067001697561,39,0,17,Crescent Township Building,,255 Spring Run Rd,Crescent,15046,,906
-79.84641678335511,40.373087484652871,40,0,128,Duquesne City Building,,12 S Second St,Duquesne,15110,,300
-79.758988066151389,40.656076947701642,41,0,20,Fawn Township Building,,3054 Howes Run Rd,Tarentum,15084,,909
-79.866441352740722,40.351472640810726,42,0,129,McKeesport City Building,,201 Lysle Blvd,McKeesport,15132,,400
-79.853281767926859,40.445943475131266,43,0,69,Churchill Borough Building,,2300 William Penn Hwy,Pittsburgh,15235,,816
-79.916099659509214,40.201837154579152,44,0,22,Forward Township Building,,500 Liggett Ave,Monongahela,15063,,911
-80.111329337443877,40.360032608342742,45,0,34,Bridgeville Borough,,425 Bower Hill Rd,Bridgeville,15017,,811
-79.782861304822177,40.43411043318995,46,0,7,Monroeville Township Building,,2700 Monroeville Blvd,Monroeville,15146,,879
-79.790141669169813,40.573822563988621,47,0,23,Frazer Township Building,,2129 Butler-Logan Rd,Tarentum,15084,,913
-80.007826868054948,40.367353855608307,48,0,66,Castle Shannon Borough Building,,3310 McRoberts Rd,Pittsburgh,15234,,813
-79.808658654701759,40.540688217701295,49,0,37,Harmar Township Building,,701 Freeport Rd,Cheswick,15024,,915
-79.838031715958593,40.408140457378757,50,0,67,Chalfant Borough Building,,144 Lynnwood Ave,East Pittsburgh,15112,,814
-80.163845964301629,40.517355423816525,51,0,70,Coraopolis Borough Building,,1012 Fifth Ave,Coraopolis,15108,,817
-80.024236157277201,40.619293013871918,52,0,53,Pine Township,,230 Pearce Mill Rd,Wexford,15090,,935
-80.046502037712827,40.418284365805349,53,0,84,Green Tree Borough Building,,10 West Manilla Ave,Pittsburgh,15220,,831
-80.089033302885298,40.407269362327362,54,0,35,Carnegie Borough,,1 Glass St,Carnegie,15106,,812
-80.120199204182398,40.588714005904045,55,0,10,Sewickley Hills Borough Building,,1165 Fairhill Rd,Sewickley,15143,,882
-79.946396835307581,40.643552896942566,56,0,55,Richland Township,,4011 Dickey Rd,Gibsonia,15044,,938
-80.066001642967507,40.435035186790515,57,0,71,Crafton Borough Building,,100 Stotz Ave,Pittsburgh,15205,,818
-79.9503628596634,40.330021003805051,58,0,1,Pleasant Hills Borough,,410 E Bruceton Rd,Pittsburgh,15236,,873
-80.037417659417329,40.394417607079475,59,0,72,Dormont Borough Building,,1444 Hillsdale Ave,Pittsburgh,15216,,819
-79.890803490774388,40.34777890578787,60,0,73,Dravosburg Borough Building,,226 Maple Ave,Dravosburg,15034,,820
-80.07278991072468,40.335326492815668,61,0,65,Upper St. Clair Township,,1820 McLaughlin Run Rd,Upper St Clair,15241,,950
-79.88370406021896,40.43405192275462,62,0,76,Edgewood Borough Building,,2 Race St,Pittsburgh,15218,,823
-80.191650275802715,40.552049010399294,63,0,77,Edgeworth Borough Building,,301 Beaver Rd,Sewickley,15143,,824
-79.755226159911857,40.498744597911589,64,0,8,Plum Borough,,4575 New Texas Rd,Pittsburgh,15239,,880
-80.096683719794953,40.513279897924136,65,0,79,Emsworth Borough Building,,171 Center Ave,Pittsburgh,15202,,826
-80.147957334771917,40.530441727312613,66,0,126,Aleppo Township,,100 North Dr,Sewickley,15143,,901
-79.85033795320237,40.420336696968128,67,0,81,Forest Hills Borough Building,,2071 Ardmore Blvd,Pittsburgh,15221,,828
-79.896624461451196,40.436617631931682,68,0,248,Frick Park,,Braddock & Biddle,Pittsburgh,15221,Pittsburgh Parks,100
-79.739071293537037,40.604986115849883,69,0,30,Brackenridge Borough Building,,1000 Brackenridge Ave,Brackenridge,15014,,807
-79.913191100132579,40.429260241069763,70,0,606,Frick Park Parks Buiding,,Frick Park,Pittsburgh,15221,Pittsburgh Public Works,100
-80.158390843262637,40.527097199467896,71,0,83,Glenfield Borough Building,,105 River Rd,Sewickley,15143,,830
-80.018551128126035,40.483351599136597,72,0,605,Riverview Park Parks Building,,Riverview Park,Pittsburgh,15214,Pittsburgh Public Works,100
-79.892245607575234,40.327771461993649,73,0,82,Glassport Borough Building,,Fifth & Monongahela Ave,Glassport,15045,,829
-79.925651486085528,40.481568722262352,74,0,607,Heths Run Storage Facility,,Highland Park,Pittsburgh,15206,Pittsburgh Public Works,100
-79.863173928208511,40.351211168724852,75,0,19,DHS-MVO,DHS-MVO,332 Fifth Ave,McKeesport,15132,Allegheny County,
-79.952510233530177,40.57994328897491,76,0,7,ACHD-North Hills,ACHD-NH,4706 William Flynn Hwy,Allison Park,15101,Allegheny County,
-80.012175477263114,40.44135038838958,77,0,602,Point State Park/ 1st,,101 Commonwealth Pl,Pittsburgh,15222,PIttsburgh Parks,100
-79.996339673591194,40.439726542563243,78,0,15,Court House,CH,436 Grant St,Pittsburgh,15219,Allegheny County,
-79.998192710085988,40.440426832729308,79,0,16,DHS @ Smithfield,DHS-Sm,441 Smithfield St,Pittsburgh,15222,Allegheny County,
-79.907716368592901,40.436406068993776,80,0,278,Frick Park Nature Center,,Frick Park,Pittsburgh,15221,Pittsburgh Public Works,100
-80.000018891458666,40.437559677508844,81,0,17,DHS @ United Way,DHS-UW,1 Smithfield St,Pittsburgh,15222,Allegheny County,
-79.977407541854262,40.454896759188216,82,0,457,Pittsuburgh Public Works Painting Building,,2526 Liberty Ave,Pittsburgh,15222,Pittsburgh Public Works,100
-79.936570222792454,40.489316623764246,83,0,5,Pittsburgh Public Works Warehouse,,6300  AVRR,Pittsburgh,15201,Pittsburgh Public Works,100
-79.985984915634532,40.438083252910431,84,0,18,DHS-CRO,DHS-CRO,1401 Forbes Ave,Pittsburgh,15222,Allegheny County,
-80.010944428294721,40.464146069822263,85,0,20,DHS-NRO,DHS-NRO,1972 Clayton Ave,Pittsburgh,15214,Allegheny County,
-79.974183915222241,40.460927477395757,86,0,604,Pittsuburgh Public Works Headquarters,,3001 Railroad St,Pittsburgh,15222,Pittsburgh Environmental,100
-80.017371208877563,40.478127703373893,87,0,375,Pittsburgh Public Works 1st Division,,300 Kilbuck Rd,Pittsburgh,15214,Pittsburgh Public Works,100
-79.970468340593584,40.428356348652514,88,0,22,DHS-SRO,DHS-SRO,2400 E Carson St,Pittsburgh,15203,Allegheny County,
-80.000359568005649,40.440419837580478,89,0,25,DHS-YWCA,DHS-Y,304 Wood St,Pittsburgh,15222,Allegheny County,
-80.046534166240761,40.4395108021927,90,0,588,Pittsburgh Public Works 5th Division,,1330 Hassler St,Pittsburgh,15220,Pittsburgh Public Works,100
-79.995912157840706,40.414012458504565,91,0,592,Pittsburgh Public Works 4th Division,,414 Bausman St,Pittsburgh,15210,Pittsburgh Public Works,100
-79.886508791259359,40.445402035608247,92,0,24,DHS-Wilkinsburg,DHS-WK,300 Wallace Ave,Pittsburgh,15221,Allegheny County,
-79.996339673591194,40.439726542563243,93,0,28,Frick Building,FrB,437 Grant St,Pittsburgh,15219,Allegheny County,
-79.942734860629699,40.403379342911094,94,0,608,Pittsburgh Public Works 3rd Division,,40 Malanchton St,Pittsburgh,15207,Pittsburgh Public Works,100
-79.905503492638999,40.456182636379182,95,0,2,Pittsburgh Public Works 2nd Division,,6814 Hamilton Ave,Pittsburgh,15208,Pittsburgh Public Works,100
-79.867767871074747,40.346719822541239,96,0,32,Kane-McKeesport,K-Mc,100 Ninth Ave,McKeesport,15132,Allegheny County,
-80.000715950662268,40.46474116335397,97,0,5,Pittsburgh Public Works Construction,,1909 Howard St,Pittsburgh,15212,Pittsburgh Public Works,100
-79.948085706809493,40.437817074980345,98,0,597,Pittsburgh Public Works 3rd Division,,400 Frew Street Ext,Pittsburgh,15221,Pittsburgh Public Works,100
-80.014936452440423,40.551599880116022,99,0,33,Kane-Ross,K-R,110 McIntyre Rd,Pittsburgh,15237,Allegheny County,
