OBJECTID,Group_,Partner,Neighborhood,Council,IDNumber
1,Heinz History Center,None,Strip District,7,1
2,Allegheny County Adult Probation,None,Arlington,3,2
3,West End Children's Center,None,Elliott,2,3
4,PA Resource Council,None,South Side Flats,3,4
6,Spring Hill Civic League,None,Spring Hill-City View,2,5
7,Asian Leadership Program,OPDC,Central Oakland,3,6
8,"Alpha Phi Omega Kappa Chapter, CMU",OPDC,North Oakland,8,7
9,Delta Chi,OPDC,North Oakland,8,8
10,Delta Sigma Pi,OPDC,Central Oakland,3,9
11,Gamma Sigma Sigma,OPDC,Central Oakland,3,10
12,National Society of Collegiate Scholars,OPDC,West Oakland,6,11
13,"Biology Club, Pitt",OPDC,Central Oakland,3,12
14,"Circle K, Pitt",OPDC,Central Oakland,3,13
15,Sigma Beta Rho,OPDC,South Oakland,3,14
17,Tau Kappa Epsilon,OPDC,South Oakland,3,15
18,Theta Phi Alpha,OPDC,Central Oakland,3,16
19,"Tri Beta, Pitt",OPDC,South Oakland,3,17
20,Zeta Sigma Chi,OPDC,Central Oakland,3,18
21,Sigma Chi,OPDC,North Oakland,8,19
22,Triangle Fraternity,OPDC,South Oakland,8,20
24,Alpha Gamma Upsilon,OPDC,West Oakland,6,21
25,"Alpha Phi Omega, Pitt Chapter",OPDC,South Oakland,8,22
26,"Circle K, CMU",OPDC,North Oakland,8,23
27,Lambda Kappa Sigma,OPDC,South Oakland,3,24
28,Sigma Alpha Mu,OPDC,North Oakland,8,25
31,St. Paul AME Beltzhoover,None,Beltzhoover,3,26
32,Zone 7 Neighbors,MWCDC,Mount Washington,2,27
33,Zone 8 Neighbors,MWCDC,Mount Washington,2,28
35,Zone 9 Neighbors,MWCDC,Mount Washington,2,29
36,Zone 10 Neighbors,MWCDC,Mount Washington,2,30
37,Zone 10 Neighbors,MWCDC,Mount Washington,2,30
38,Zone 10 Neighbors,MWCDC,Mount Washington,2,30
39,Zone 18 Neighbors,MWCDC,Mount Washington,3,31
41,Zone 20 Neighbors,MWCDC,Mount Washington,3,32
42,Cats and Dogs Coffee Regulars,None,Lower Lawrenceville,7,33
43,Civic Leadership Academy Class of Fall 2011,None,Strip District,7,34
44,Uptown Partners,None,Bluff/Uptown,6,36
45,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37
46,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37
47,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37
48,PULSE,None,East Liberty,9,35
49,Pittsburgh Grandview,School,Allentown,3,38
50,Pittsburgh Grandview,School,Allentown,3,38
51,Pittsburgh King PreK-8,School,Allegheny West,1,39
52,Saint Rosalia Academy,School,Greenfield,5,40
53,Pittsburgh Sterrett 6-8,School,Point Breeze,9,41
55,Pittsburgh Carrick HS 9th Grade,School,Carrick,4,42
56,Pittsburgh Carrick HS 9th Grade,School,Carrick,4,42
57,Propel Andrew Street HS,School,Hazelwood,5,43
58,"Phi Sigma Pi, Pitt",None,Shadyside,8,44
59,Logan's Litter League,None,Sheraden,2,45
60,"Heroiks, Pitt",None,Homewood South,9,46
61,ASQ,None,Central Business District,6,47
62,Zone 12 Neighbors,MWCDC,Mount Washington,2,48
