Academic Year,16-25,26-35,36-45,46-55,56-65,66-75,76+,Unknown,Number of Qualifications
Up to 31 July 2003,145,76,56,31,4,2,0,2,316
1 August 2003 - 31 July 2004,1812,693,509,226,110,20,7,66,3443
1 August 2004 - 31 July 2005,3202,710,711,404,180,64,10,184,5465
1 August 2005 - 31 July 2006,5854,1270,1364,733,316,63,11,80,9691
1 August 2006 - 31 July 2007,8976,1226,1204,640,230,51,12,88,12427
1 August 2007 - 31 July 2008,11566,1230,1225,634,266,50,12,214,15197
1 August 2008 - 31 July 2009,12015,1005,920,528,167,22,4,492,15153
1 August 2009 - 31 July 2010,17652,2291,2340,1565,617,257,62,549,25333
1 August 2010 - 31 July 2011,23983,3268,3288,2552,1040,521,104,581,35337
1 August 2011 - 31 July 2012,26684,4215,3744,2819,1023,453,93,1064,40095
1 August 2012 - 31 July 2013,26756,4115,3435,2705,908,372,90,1003,39384
1 August 2013 - 31 July 2014,28973,4262,3283,2318,722,257,61,981,40857
