Disease,Week 49,Week 48,Week 47,Week 46,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,2,41,56,56,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,16,7,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,7,13,13,7,1388,1605,1514,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,1,2,1,47,21,5,, ,,,,,,
Food Poisoning,28,40,27,39,1822,1762,1656,, , ,,,,,
Gastroenteritis (< 2years),1,2,1,2,299,423,549,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,2,1,1,90,120,109,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,10,6,10,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,0,0,1,7,6,5,,, ,,, ,,
Measles,1,0,0,0,15,17,56,, , , , ,,,
Meningococcal Septicaemia,0,0,0,1,17,22,26,,, , , , ,,
Mumps,10,13,8,6,290,115,685,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,16,,, ,,,,,
Scarlet Fever,4,2,7,3,358,611,178,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),1,2,1,0,40,68,38,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,2,2,33,35,32,, , ,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,0,2,5,0,112,36,75,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,56,77,67,65,4592,4929,5028,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
