Disease,Week 23,Week 22,Week 21,Week 20,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,0,23,35,26,,,,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,0,2,3,2,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,42,47,36,44,875,1119,881,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,1,0,1,0,19,5,2,, ,,,,,,
Food Poisoning,36,50,42,40,726,689,667,, ,,,,,,
Gastroenteritis (< 2years),2,1,0,0,112,192,391,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,2,,,, , ,,,
Hepatitis B,1,0,0,1,44,59,42,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,2,3,4,,, ,, ,, ,
Leptospirosis,0,0,1,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,1,5,3,,, ,,, ,,
Measles,1,0,1,0,11,10,45,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,12,13,,, , , , ,,
Mumps,9,6,7,3,151,26,545,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,3,3,8,,, ,,,,,
Scarlet Fever,14,7,7,7,261,461,123,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),3,1,0,1,21,37,14,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,0,0,15,18,17,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,4,1,2,5,31,16,53,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,114,114,97,101,2318,2695,2840,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
