Disease,Week 14,Week 13,Week 12,Week 11,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,3,1,19,25,15,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,1,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,57,33,44,38,477,623,458,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,1,0,11,2,0,, ,,,,,,
Food Poisoning,30,35,23,34,377,328,330,, ,,,,,,
Gastroenteritis (< 2years),3,13,8,19,88,122,163,,, ,,,,,
Hepatitis A,2,1,0,0,6,2,1,,,, , ,,,
Hepatitis B,1,1,4,3,34,40,27,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,1,1,0,4,,, ,, ,, ,
Leptospirosis,0,0,0,0,1,0,0,, , , , ,,,
Malaria,1,0,0,0,1,4,3,,, ,,, ,,
Measles,1,2,1,0,8,7,27,, , , , ,,,
Meningococcal Septicaemia,0,0,0,1,8,12,11,,, , , , ,,
Mumps,5,4,4,10,103,16,387,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,1,0,3,0,4,,, ,,,,,
Scarlet Fever,12,13,22,9,167,234,84,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),0,1,0,0,14,19,11,, , ,,,,,
Tuberculosis (Non Pulmonary),1,1,1,1,13,13,8,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,0,0,1,0,8,7,41,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,114,104,113,117,1342,1457,1576,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,, ,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
