Disease,Week 6,Week 5,Week 4,Week 3,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,1,0,2,7,12,8,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,1,0,0,1,1,1,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,0,31,30,48,155,187,148,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,2,0,0,1,5,0,0,, ,,,,,,
Food Poisoning,29,27,22,21,151,135,118,, ,,,,,,
Gastroenteritis (< 2years),0,1,5,6,23,55,51,,, ,,,,,
Hepatitis A,1,0,0,0,1,0,0,,,, , ,,,
Hepatitis B,2,1,3,3,12,16,16,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,2,,, ,, ,, ,
Leptospirosis,1,0,0,0,1,0,0,, , , , ,,,
Malaria,0,0,0,0,0,4,1,,, ,,, ,,
Measles,0,0,0,1,3,4,16,, , , , ,,,
Meningococcal Septicaemia,0,0,1,0,2,5,4,,, , , , ,,
Mumps,8,11,16,9,52,11,234,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,0,1,2,0,1,,, ,,,,,
Scarlet Fever,22,9,10,8,61,45,32,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,1,1,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,2,1,2,6,6,4,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,1,0,3,6,2,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,0,0,2,2,5,1,29,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,68,85,91,104,492,488,667,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
