objectid,perimeter,zone,sectors,anno
1,35539.603353,1,6,1-6
2,45822.414,6,5,6-5
3,47025.135263,4,5,4-5
4,15420.971738,2,6,2-6
5,41313.600222,6,2,6-2
6,42523.082837,4,3,4-3
7,26113.237421,3,6,3-6
8,11648.770988,2,8,2-8
19,32708.837353,5,4,5-4
9,37667.159065,3,3,3-3
10,87456.366333,4,7,4-7
11,23594.776006,3,4,3-4
20,13583.052994,5,7,5-7
12,45996.314207,6,7,6-7
13,23349.988649,5,5,5-5
14,33968.426748,1,3,1-3
15,39892.409,3,7,3-7
16,61785.642,6,4,6-4
24,14635.465892,2,2,2-2
17,45720.294276,5,3,5-3
18,37209.057847,2,9,2-9
21,42504.928545,1,2,1-2
22,30398.341257,1,1,1-1
23,44126.994915,4,4,4-4
25,15739.44454,2,5,2-5
26,14529.859234,2,1,2-1
27,18211.881395,2,4,2-4
28,16492.24793,2,7,2-7
29,40624.181,6,6,6-6
43,28902.91904,5,1,5-1
30,28086.364485,5,7,5-7
31,40353.56627,4,1,4-1
32,28618.029254,1,4,1-4
33,18704.146184,5,8,5-8
34,19498.09317,5,2,5-2
35,22408.158286,1,5,1-5
36,20902.679027,5,6,5-6
37,8998.423032,1,7,1-7
38,29775.66507,1,7,1-7
39,33001.411822,2,3,2-3
40,13292.970312,1,2,1-2
46,45822.414,6,3,6-3
41,61785.642,6,1,6-1
42,28510.696354,4,2,4-2
44,29382.662018,3,1,3-1
45,39928.939758,4,6,4-6
47,45996.314207,3,2,3-2
48,0,3,5,3-5
