HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,186,.,.,.,.,.,.,.,.,.,.,.,.,.,.,186
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,695",.,.,.,.,.,"1,695"
AA22G,191,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391,.,391
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,537,.,.,.,.,.,.,.,.,.,.,.,.,537
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,"1,112",.,.,.,.,.,.,"14,067",.,.,.,.,.,"15,179"
AA22G,823,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,938",.,.,.,.,.,"1,938"
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,241
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"1,695",.,.,.,.,.,"1,695"
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761
AA24E,800,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,161,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,604,.,.,.,604
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,482,.,.,.,.,.,.,.,.,.,.,.,.,"3,914",.,"4,397"
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,119,.,.,.,.,.,.,.,.,.,.,.,.,652,.,771
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,531,.,.,.,.,.,531
AA24H,303,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,101
