FE College,Subject Area,Final Year Enrolments,Final Year Completers,Retention Rate,Achievements,Achievement Rate,Success Rate
Belfast Metropolitan College,Health public services and care,1833,1656,90.3%,1452,87.7%,79.2%
Belfast Metropolitan College,Science and mathematics,1537,1440,93.7%,961,66.7%,62.5%
Belfast Metropolitan College,Agriculture horticulture and animal care,51,43,84.3%,40,93.0%,78.4%
Belfast Metropolitan College,Engineering and manufacturing technologies,992,932,94.0%,848,91.0%,85.5%
Belfast Metropolitan College,Construction planning and the built environment,374,347,92.8%,331,95.4%,88.5%
Belfast Metropolitan College,Information and communication technology,3018,2458,81.4%,2198,89.4%,72.8%
Belfast Metropolitan College,Retail and commercial enterprise,2540,2350,92.5%,2180,92.8%,85.8%
Belfast Metropolitan College,Leisure travel and tourism,896,821,91.6%,710,86.5%,79.2%
Belfast Metropolitan College,Arts media and publishing,930,850,91.4%,734,86.4%,78.9%
Belfast Metropolitan College,History philosophy and theology,372,330,88.7%,210,63.6%,56.5%
Belfast Metropolitan College,Social sciences,756,677,89.6%,476,70.3%,63.0%
Belfast Metropolitan College,Languages literature and culture,2349,1994,84.9%,1575,79.0%,67.0%
Belfast Metropolitan College,Education and training,231,216,93.5%,204,94.4%,88.3%
Belfast Metropolitan College,Preparation for life and work,8801,7318,83.1%,6028,82.4%,68.5%
Belfast Metropolitan College,Business administration and law,1570,1458,92.9%,1133,77.7%,72.2%
Belfast Metropolitan College,Unknown,212,193,91.0%,164,85.0%,77.4%
Belfast Metropolitan College,Total,26462,23083,87.2%,19244,83.4%,72.7%
Northern Regional College,Health public services and care,1254,1121,89.4%,1016,90.6%,81.0%
Northern Regional College,Science and mathematics,639,550,86.1%,474,86.2%,74.2%
Northern Regional College,Agriculture horticulture and animal care,223,210,94.2%,194,92.4%,87.0%
Northern Regional College,Engineering and manufacturing technologies,875,822,93.9%,748,91.0%,85.5%
Northern Regional College,Construction planning and the built environment,682,635,93.1%,592,93.2%,86.8%
Northern Regional College,Information and communication technology,2218,1766,79.6%,1557,88.2%,70.2%
