HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total FCEs,
AA22C,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22C,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22E,101,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA22E,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22F,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8,
AA23C,361,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
