Disease,Week 17,Week  16,Week 15,Week 14,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,1,0,1,18,21,29,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,46,63,54,35,560,629,808,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,0,0,5,15,3,, ,,,,,,
Food Poisoning,61,40,43,41,559,483,404,, , ,,,,,
Gastroenteritis (< 2years),0,1,1,7,38,126,179,, , ,,,,,
Hepatitis A,2,0,0,0,4,7,2,, , , , ,,,
Hepatitis B,0,0,1,2,30,40,48,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,2,1,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,1,4,,, ,,, ,,
Measles,0,0,0,0,8,9,8,, , , , ,,,
Meningococcal Septicaemia,1,1,0,0,8,9,12,,, , , , ,,
Mumps,19,3,10,13,229,119,17,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,3,0,,, ,,,,,
Scarlet Fever,13,20,19,9,231,196,371,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),4,0,0,2,18,16,24,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,1,2,12,13,16,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,0,0,1,0,28,12,9,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,149,129,130,112,1752,1705,1938,, , ,,,,,
