Disease,Week 43,Week 42,Week 41,Week 40,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,1,0,0,36,51,46,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,8,13,15,14,1322,1483,1379,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,0,0,1,36,17,4,, ,,,,,,
Food Poisoning,39,32,47,42,1598,1577,1496,, , ,,,,,
Gastroenteritis (< 2years),4,1,3,6,289,378,496,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,0,2,1,84,105,91,,, , , , ,,
Hepatitis Unspecified,0,1,0,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,1,0,0,0,10,4,8,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,1,0,0,0,4,5,5,,, ,,, ,,
Measles,0,0,0,0,13,15,53,, , , , ,,,
Meningococcal Septicaemia,2,0,0,1,14,27,23,,, , , , ,,
Mumps,3,5,4,6,227,87,665,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,5,5,7,3,331,578,160,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),2,2,1,0,32,62,33,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,1,0,27,35,30,, ,,,,,,
Typhoid,0,0,0,1,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,1,3,1,8,103,33,72,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,72,63,81,83,4149,4482,4591,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
