Column Name,Description,Data Type,Codes
ACCESS_CTRL,Access Control Code,TEXT,No code provided
ADJ_RDWY_SEQ,Adjusted Roadway Sequence Number,NUMBER,
AGGRESSIVE_DRIVING,Aggressive Driving Indicator,NUMBER,"0 = No, 1 = Yes"
ALCOHOL_RELATED,Alcohol Related Indicator,NUMBER,"0 = No, 1 = Yes"
AUTOMOBILE_COUNT,Total Amount of Automobiles Involved,NUMBER,
BELTED_DEATH_COUNT,Total Deaths of belted occupants,NUMBER,
BELTED_MAJ_INJ_COUNT,Total Major Injuries of belted occupants,NUMBER,
BICYCLE,Bicycle Indicator,NUMBER,"0 = No, 1 = Yes"
BICYCLE_COUNT,Total amount of Bicycles involved,NUMBER,
BICYCLE_DEATH_COUNT,Total amount of Bicyclist Fatalities,NUMBER,
BICYCLE_MAJ_INJ_COUNT,Total amount of Bicyclist Major Injuries,NUMBER,
BUS_COUNT,Total amount of Buses involved,NUMBER,
CELL_PHONE,Driver Using Cell Phone Indicator,NUMBER,"0 = No, 1 = Yes"
COLLISION_TYPE,Collision category that defines the crash,TEXT,0 - Non collision
,,,1 - Rear-end
,,,2 - Head-on
,,,3 - Rear-to-rear (Backing)
,,,4 - Angle
,,,5 - Sideswipe (same dir.)
,,,6 - Sideswipe (Opposite dir.)
,,,7 - Hit fixed object
,,,8 - Hit pedestrian
,,,9 - Other or Unknown
COMM_VEH_COUNT,Total Commercial vehicles involved,NUMBER,
COMM_VEHICLE,Crash has at least 1 involved Commercial Vehicle,NUMBER,"0 = No, 1 = Yes"
CONS_ZONE_SPD_LIM,Speed limit for the Construction Zone,TEXT,
COUNTY,County Code Number where crash occurred,TEXT,02 - Allegheny County
CRASH_CRN,Crash Record Number,NUMBER,
CRASH_MONTH,Month when the crash occurred,TEXT,
CRASH_YEAR,Year when the crash occurred,TEXT,
CRN,Crash Record Number,NUMBER,
CROSS_MEDIAN,Cross Median Indicator,NUMBER,"0 = No, 1 = Yes"
CURVE_DVR_ERROR,Curve in Road Driver Error Indicator,NUMBER,"0 = No, 1 = Yes"
CURVED_ROAD,Curve in Road,NUMBER,"0 = No, 1 = Yes"
