HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,587",.,.,.,.,.,"1,587"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,"4,391",.,.,.,.,.,.,.,.,.,"4,391"
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,"11,462",.,.,.,.,.,.,.,.,.,.,.,.,.,"11,462"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,332,.,.,.,.,.,332
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,"1,076",.,.,.,.,.,958,.,.,"1,534",.,"3,568"
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1","2,794",.,.,.,.,.,.,"1,076",.,.,.,.,"13,261","5,407",.,.,383,.,"22,921"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,662","4,595",.,.,.,.,"6,257"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,220,.,233,.,.,.,.,.,863,.,.,"31,253","6,695",.,.,995,.,"40,258"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",921,.,.,.,262,.,.,.,.,863,.,.,"1,662","7,822",.,.,"1,914",.,"13,445"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,376,.,.,.,.,.,"6,467",.,.,.,.,.,"6,842"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,"1,127",.,.,.,.,.,"1,561",.,.,.,.,.,"2,688"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,259
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,233,.,687,.,.,.,.,.,.,.,.,.,.,.,.,.,.,921
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,464,.,.,376,.,.,.,.,.,720,.,.,.,.,.,"1,559"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","2,328",.,365,205,.,"34,477",751,.,"16,561",.,.,"1,475","19,453",.,.,.,"17,255",.,"92,869"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,383,.,499
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,"1,782",.,"1,987"
