HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA02C,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA02D,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
AA02E,120,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA02E,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA02F,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA02F,421,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA03C,100,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA03C,150,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,32,.,.,.,.,32
AA03C,340,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA03C,400,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA03D,150,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,36,.,.,.,.,36
AA03D,400,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA04D,150,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA05C,150,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA05D,150,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA06D,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA06E,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA06E,400,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA06F,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA06F,420,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA07C,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA07C,420,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA07D,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA09D,100,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA09D,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA11Z,150,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA12C,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
