Disease,Week 1,Week 52,Week 51,Week 50,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,0,3,3,2,3,2,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,0,22,21,27,0,11,32,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,3,0,0,0,0,, ,,,,,,
Food Poisoning,23,20,19,19,23,23,17,, ,,,,,,
Gastroenteritis (< 2years),7,6,7,11,7,9,6,,, ,,,,,
Hepatitis A,0,0,0,0,0,0,0,,,, , ,,,
Hepatitis B,1,2,1,3,1,3,0,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,1,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,0,0,0,0,0,1,2,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,0,0,1,,, , , , ,,
Mumps,3,1,5,5,3,0,24,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,1,1,2,1,1,0,0,,, ,,,,,
Scarlet Fever,8,1,7,6,8,3,6,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,0,0,0,, ,,,,,,
Tuberculosis (Pulmonary),0,0,1,2,0,1,0,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,1,0,2,1,0,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,0,1,2,2,0,0,4,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,47,54,72,80,47,55,94,, , ,,,,,
,,,,,,,,,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,,,,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
