Academic Year,Male,Female,Unknown,Number of Qualifications
Up to 31 July 2003,155,161,0,316
1 August 2003 - 31 July 2004,2077,1366,0,3443
1 August 2004 - 31 July 2005,3140,2325,0,5465
1 August 2005 - 31 July 2006,5284,4407,0,9691
1 August 2006 - 31 July 2007,6850,5577,0,12427
1 August 2007 - 31 July 2008,8582,6615,0,15197
1 August 2008 - 31 July 2009,9187,5966,0,15153
1 August 2009 - 31 July 2010,13570,11763,0,25333
1 August 2010 - 31 July 2011,18430,16907,0,35337
1 August 2011 - 31 July 2012,21364,18721,10,40095
1 August 2012 - 31 July 2013,20485,18889,10,39384
1 August 2013 - 31 July 2014,21957,18889,11,40857
Total,131081,111586,22,242698
