Disease,Week 45,Week 44,Week 43,Week 42,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,1,2,1,38,53,51,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,14,12,8,13,1348,1529,1417,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,3,2,2,0,41,19,4,, ,,,,,,
Food Poisoning,42,48,39,32,1688,1643,1550,, , ,,,,,
Gastroenteritis (< 2years),3,1,4,1,293,391,511,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,1,0,1,86,106,95,,, , , , ,,
Hepatitis Unspecified,0,0,0,1,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,1,0,10,4,8,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,2,1,0,6,5,5,,, ,,, ,,
Measles,1,0,0,0,14,16,55,, , , , ,,,
Meningococcal Septicaemia,1,1,2,0,16,19,25,,, , , , ,,
Mumps,12,14,3,5,253,90,671,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,9,2,5,5,342,589,163,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),1,3,2,2,36,64,34,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,2,0,28,35,31,, , ,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,0,2,1,3,105,34,73,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,87,90,72,64,4327,4622,4723,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
