a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2013,CC2013010100097,1,1,1,1,4,3, , ,8, , ,8
2013,CC2013010100097,1,2,3,1,4,3, , ,8, , ,8
2013,CC2013010100097,1,3,4,1,4,3, , ,8, , ,8
2013,CC2013010100097,1,4,4,1,4,3, , ,8, , ,8
2013,CC2013010100097,1,5,4,2,4,3, , ,8, , ,8
2013,CC2013010100275,0,1,5,2,3,3, , ,8, , , 
2013,CC2013010100332,1,1,1,1,7,3,1,1,8,1, ,8
2013,CC2013010100332,1,2,3,2,6,2,1,1,8,1, ,8
2013,CC2013010100332,2,3,1,1,4,3,1,1,8,1, ,8
2013,CC2013010100332,2,4,3,2,3,3,1,1,8,1, ,8
2013,CC2013010100332,2,5,4,1,3,2,1,1,8,1, ,8
2013,CC2013010100332,2,6,4,2,3,2,1,1,8,1, ,8
2013,CC2013010100332,2,7,4,1,4,3,1,1,8,1, ,8
2013,CC2013010100332,2,8,4,2,3,2,1,1,8,1, ,8
2013,CC2013010100384,0,1,5,1,6,3, , ,8, , , 
2013,CC2013010100512,1,1,1,2,6,3, , ,8, , ,8
2013,CC2013010100512,1,2,3,1,5,3, , ,8, , ,8
2013,CC2013010100512,1,3,4,1,3,3, , ,8, , ,8
2013,CC2013010100519,1,1,1,2,7,3, , ,8, , ,8
2013,CC2013010100519,2,2,1,2,3,3, , ,8, , ,8
2013,CC2013010100519,2,3,3,2,3,3, , ,8, , ,8
2013,CC2013010100570,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010100699,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010100933,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010100989,1,1,3,2,2,3, , ,8, , ,8
2013,CC2013010101038,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010101038,1,2,3,1,3,3, , ,8, , ,8
2013,CC2013010101038,2,3,1,1,4,3, , ,8, , ,8
2013,CC2013010101038,2,4,3,2,4,3, , ,8, , ,8
2013,CC2013010101304,1,1,1,1,7,3, , ,8, , ,8
2013,CC2013010101466,1,1,3,2,6,3, , ,8, , ,8
2013,CC2013010101466,2,2,3,2,2,3, , ,8, , ,8
2013,CC2013010101466,2,3,1,1,3,3, , ,8, , ,8
2013,CC2013010101493,1,1,3,1,3,3, , ,8, , ,8
2013,CC2013010101493,1,2,4,2,3,3, , ,8, , ,8
2013,CC2013010101493,1,3,4,2,3,3, , ,8, , ,8
2013,CC2013010101553,2,1,1,1,3,3, , ,8, , ,8
2013,CC2013010101553,2,2,3,2,3,3, , ,8, , ,8
2013,CC2013010101553,2,3,4,2,3,3, , ,8, , ,8
2013,CC2013010200003,1,1,1,1,4,3, , ,8, , ,8
2013,CC2013010200116,1,1,1,2,4,3, , ,8, , ,8
2013,CC2013010200160,1,1,6,1,5,2,1,1,8,1, ,5
2013,CC2013010200345,1,1,1,1,6,3, , ,8, , ,8
2013,CC2013010200345,2,2,1,2,4,3, , ,8, , ,8
2013,CC2013010200345,2,3,4,1,1,3, , ,8, , ,8
2013,CC2013010200345,3,4,1,1,6,3, , ,8, , ,15
2013,CC2013010200362,1,1,3,2,6,3, , ,8, , ,8
2013,CC2013010200444,2,1,1,1,4,3, , ,8, , ,8
2013,CC2013010200578,1,1,1,1,6,3, , ,8, , ,20
2013,CC2013010200889,2,1,1,1,8,3, , ,8, , ,8
2013,CC2013010200889,2,2,3,2,6,3, , ,8, , ,8
2013,CC2013010201051,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010201051,1,2,3,1,2,3, , ,8, , ,8
2013,CC2013010300152,1,1,1,2,5,3, , ,8, , ,8
2013,CC2013010300154,1,1,1,1,6,3, , ,8, , ,8
2013,CC2013010300244,0,1,5,2,8,3, , ,8, , , 
2013,CC2013010300329,1,1,1,2,4,3, , ,8, , ,8
2013,CC2013010300384,1,1,1,2,7,3, , ,8, , ,8
2013,CC2013010300519,1,1,1,1,7,3, , ,8, , ,8
2013,CC2013010300519,1,2,3,2,7,3, , ,8, , ,8
2013,CC2013010300659,1,1,1,1,7,3, , ,8, , ,20
2013,CC2013010300700,1,1,1,2,7,3, , ,8, , ,8
2013,CC2013010300723,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010300723,1,2,3,2,3,3, , ,8, , ,8
2013,CC2013010300747,2,1,6,1,6,2,1,1,8,1, ,5
2013,CC2013010300958,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010400222,2,1,1,1,6,3, , ,8, , ,8
2013,CC2013010400409,1,1,1,2,4,3, , ,8, , ,8
2013,CC2013010400409,2,2,3,2,2,3, , ,8, , ,8
2013,CC2013010400465,1,1,1,1,8,3, , ,8, , ,8
2013,CC2013010400657,1,1,3,2,3,3, , ,8, , ,8
2013,CC2013010400657,2,2,1,1,7,3, , ,8, , ,8
2013,CC2013010400761,1,1,1,1,4,3, , ,8, , ,8
2013,CC2013010400761,1,2,3,1,3,3, , ,8, , ,8
2013,CC2013010400825,1,1,1,2,5,3, , ,8, , ,8
2013,CC2013010400873,2,1,6,1,6,2,1,1,8,1, ,4
2013,CC2013010400877,1,1,1,1,5,3, , ,8, , ,8
2013,CC2013010400993,0,1,5,2,8,2,6,4,8,1,2, 
2013,CC2013010401017,1,1,7,1,6,3, , ,8, , ,1
2013,CC2013010401075,2,1,3,2,7,3, , ,8, , ,8
2013,CC2013010401139,1,1,1,2,4,3, , ,8, , ,8
2013,CC2013010401159,1,1,1,2,5,3, , ,8, , ,8
2013,CC2013010401187,1,1,1,1,8,3, , ,8, , ,8
2013,CC2013010401187,2,2,1,1,5,3, , ,8, , ,8
2013,CC2013010500339,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010500339,1,2,3,2,4,3, , ,8, , ,8
2013,CC2013010500584,1,1,6,1,7,3, , ,8, , ,5
2013,CC2013010500593,2,1,3,2,2,3, , ,8, , ,8
2013,CC2013010500593,2,2,4,2,1,3, , ,8, , ,8
2013,CC2013010500719,1,1,1,2,4,3, , ,8, , ,8
2013,CC2013010500719,1,2,3,2,1,3, , ,8, , ,8
2013,CC2013010500810,1,1,1,2,5,3, , ,8, , ,8
2013,CC2013010500835,1,1,1,1,7,3, , ,8, , ,8
2013,CC2013010500835,2,2,1,1,5,3, , ,8, , ,8
2013,CC2013010500842,1,1,1,2,6,3, , ,8, , ,8
2013,CC2013010500842,1,2,3,2,5,3, , ,8, , ,8
2013,CC2013010500842,1,3,4,2,5,3, , ,8, , ,8
2013,CC2013010500842,1,4,4,2,5,3, , ,8, , ,8
2013,CC2013010500860,1,1,1,2,3,3, , ,8, , ,8
2013,CC2013010500860,2,2,1,1,3,3, , ,8, , ,8
2013,CC2013010500869,1,1,1,1,6,3, , ,8, , ,8
2013,CC2013010500869,1,2,3,1,6,3, , ,8, , ,8
2013,CC2013010500869,1,3,4,2,6,3, , ,8, , ,8
2013,CC2013010500869,1,4,4,1,6,3, , ,8, , ,8
2013,CC2013010500869,1,5,4,2,6,3, , ,8, , ,8
2013,CC2013010500869,2,6,1,1,4,3, , ,8, , ,8
2013,CC2013010501018,1,1,1,1,4,3, , ,8, , ,8
2013,CC2013010501018,2,2,1,2,3,3, , ,8, , ,8
2013,CC2013010501018,2,3,3,2,5,3, , ,8, , ,8
2013,CC2013010501113,2,1,6,1,5,3, , ,8, , ,5
2013,CC2013010501129,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010600048,1,1,1,2,3,3, , ,8, , ,8
2013,CC2013010600102,1,1,3,2,3,3, , ,8, , ,8
2013,CC2013010600116,1,1,1,1,4,3, , ,8, , ,8
2013,CC2013010600116,1,2,3,1,4,3, , ,8, , ,8
2013,CC2013010600430,1,1,1,2,6,3, , ,8, , ,8
2013,CC2013010600430,2,2,1,1,6,3, , ,8, , ,8
2013,CC2013010600430,2,3,3,2,2,3, , ,8, , ,8
2013,CC2013010600430,2,4,4,1,2,3, , ,8, , ,8
2013,CC2013010600430,2,5,4,2,2,3, , ,8, , ,8
2013,CC2013010600430,2,6,4,1,1,3, , ,8, , ,8
2013,CC2013010600448,2,1,1,1,4,3, , ,8, , ,8
2013,CC2013010600448,2,2,3,1,4,3, , ,8, , ,8
2013,CC2013010600448,2,3,4,1,3,3, , ,8, , ,8
2013,CC2013010600507,1,1,1,1,6,3, , ,8, , ,8
2013,CC2013010600740,2,1,1,2,5,3, , ,8, , ,8
2013,CC2013010600740,3,2,1,2,7,3, , ,8, , ,8
2013,CC2013010600783,1,1,1,1,3,3,1,1,8,1, ,8
2013,CC2013010600783,1,2,3,2,3,2,1,1,8,1, ,8
2013,CC2013010600783,1,3,4,2,1,3,1,1,8,1, ,8
2013,CC2013010600783,1,4,4,1,1,3,1,1,8,1, ,8
2013,CC2013010600828,1,1,1,2,3,3, , ,8, , ,8
2013,CC2013010600828,1,2,3,1,2,3, , ,8, , ,8
2013,CC2013010600909,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010600989,1,1,1,2,3,3, , ,8, , ,8
2013,CC2013010700148,1,1,1,1,3,3, , ,8, , ,8
2013,CC2013010700153,1,1,1,1,6,2,1,1,8,1, ,8
