Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,,
30-Jun-2007,Belfast,General Surgery,Acute Services,309,218,138,6,0,,,--,--,--,--,--,671,,
30-Jun-2007,Belfast,Urology,Acute Services,483,301,116,3,0,,,--,--,--,--,--,903,,
30-Jun-2007,Belfast,T & O Surgery,Acute Services,158,211,110,36,0,,,--,--,--,--,--,515,,
30-Jun-2007,Belfast,ENT,Acute Services,121,159,72,1,0,,,--,--,--,--,--,353,,
30-Jun-2007,Belfast,Ophthalmology,Acute Services,905,846,405,19,0,,,--,--,--,--,--,"2,175",,
30-Jun-2007,Belfast,Oral Surgery,Acute Services,47,30,16,3,0,,,--,--,--,--,--,96,,
30-Jun-2007,Belfast,Paediatric Dentistry,Acute Services,44,19,10,0,0,,,--,--,--,--,--,73,,
30-Jun-2007,Belfast,Neurosurgery,Acute Services,1,1,1,1,0,,,--,--,--,--,--,4,,
30-Jun-2007,Belfast,Plastic Surgery,Acute Services,68,49,35,1,0,,,--,--,--,--,--,153,,
30-Jun-2007,Belfast,Paediatric Surgery,Acute Services,92,84,38,3,0,,,--,--,--,--,--,217,,
30-Jun-2007,Belfast,Thoracic Surgery,Acute Services,10,1,0,0,0,,,--,--,--,--,--,11,,
30-Jun-2007,Belfast,Accident & Emergency,Acute Services,27,2,0,0,0,,,--,--,--,--,--,29,,
30-Jun-2007,Belfast,Anaesthetics,Acute Services,14,15,0,0,0,,,--,--,--,--,--,29,,
30-Jun-2007,Belfast,Pain Management,Acute Services,156,106,41,1,0,,,--,--,--,--,--,304,,
30-Jun-2007,Belfast,General Medicine,Acute Services,149,76,26,0,0,,,--,--,--,--,--,251,,
30-Jun-2007,Belfast,Gastroenterology,Acute Services,376,183,79,3,0,,,--,--,--,--,--,641,,
30-Jun-2007,Belfast,Endocrinology,Acute Services,11,4,5,0,0,,,--,--,--,--,--,20,,
30-Jun-2007,Belfast,Cardiology,Acute Services,210,117,80,6,0,,,--,--,--,--,--,413,,
30-Jun-2007,Belfast,Dermatology,Acute Services,34,20,13,3,0,,,--,--,--,--,--,70,,
