Academic Year,Employed,Unemployed,Economically Inactive,Unknown,Number of enrolments
Up to 31 July 2003,1349,972,514,1174,4009
1 August 2003 - 31 July 2004,2054,2274,967,3806,9101
1 August 2004 - 31 July 2005,2932,3077,1469,5583,13061
1 August 2005 - 31 July 2006,3982,4069,3199,6009,17259
1 August 2006 - 31 July 2007,3414,5332,3076,8436,20258
1 August 2007 - 31 July 2008,5948,6407,5095,8097,25547
1 August 2008 - 31 July 2009,11278,8043,9533,6116,34970
1 August 2009 - 31 July 2010,15214,10612,17895,6160,49881
1 August 2010 - 31 July 2011,20779,12184,21108,5930,60001
1 August 2011 - 31 July 2012,19021,13170,22534,4487,59212
1 August 2012 - 31 July 2013,15250,11951,19754,4780,51735
1 August 2013 - 31 July 2014,10414,12285,19651,3442,45792
