FID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,SHAPE_Leng,SHAPE_Area
1,15003,AMBRIDGE,NON-UNIQUE,PA,42,42007,BEAVER,150,40.609477,-80.220242,105077.59668,192938012.076
2,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.656688,-79.93213,15906.504113,10445720.65
3,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.607964,-79.740832,16836.066462,15259605.3415
4,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.636452,-80.085235,33814.667113,27497933.0684
5,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.289408,-79.791237,46711.172713,50520611.8563
6,15020,BUNOLA,PO BOX,PA,42,42003,ALLEGHENY,150,40.219791,-79.963024,86393.893196,37615479.3705
7,15024,CHESWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.573991,-79.847209,185602.758705,488782319.372
8,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.284163,-79.915373,149505.351692,455951145.824
9,15026,CLINTON,NON-UNIQUE,PA,42,42007,BEAVER,150,40.512342,-80.373905,194076.365131,709472628.794
10,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,0,0,27557.187182,29885395.682
11,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.588067,-79.779996,60954.340392,47577431.0648
12,15035,EAST MC KEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.398468,-79.818333,17850.041426,11765601.0055
13,15045,GLASSPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.326545,-79.886074,33299.568223,49829636.4956
14,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.555638,-80.228324,37121.050197,63324835.4021
15,15047,GREENOCK,PO BOX,PA,42,42003,ALLEGHENY,150,40.311219,-79.79641,14602.911833,8297050.68219
16,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.555943,-79.805605,26044.353074,18921596.4784
17,15056,LEETSDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.565459,-80.213164,27616.217335,29157141.2484
18,15063,MONONGAHELA,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.200639,-79.928173,247233.204524,757864888.892
19,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.357046,-80.147558,28900.132464,18995533.1689
20,15065,NATRONA HEIGHTS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.641746,-79.72652,108365.365869,351666390.026
21,15068,NEW KENSINGTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.554944,-79.708959,262083.544949,1292148185.76
22,15075,RURAL RIDGE,PO BOX,PA,42,42003,ALLEGHENY,150,40.632611,-79.837475,4524.576392,986369.161404
23,15076,RUSSELLTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.61091,-79.836508,52634.612427,32235049.4962
24,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.380889,-80.213103,12778.663543,4384740.28737
25,15085,TRAFFORD,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.384812,-79.719046,95677.070519,261804238.794
26,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.621659,-80.062186,211993.557241,624299161.641
27,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.408877,-80.113774,125983.383841,316311748.321
28,15110,DUQUESNE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.372431,-79.850058,33483.390755,56170668.4371
