HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,"7,957","17,291",.,.,.,.,.,.,.,.,.,.,.,"25,248"
AA22C,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,"10,848",.,.,.,.,.,.,.,.,.,.,"10,848"
AA22C,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,"7,250",.,.,.,.,"7,250"
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,"11,356",755,.,"11,844",.,.,.,.,"23,955"
AA22D,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,739,.,.,.,.,739
AA22D,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"14,553",.,.,.,.,"14,553"
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","14,714","10,423",.,.,"6,766",.,.,.,.,.,.,"6,389",.,.,.,.,"38,293"
AA22D,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"3,888",.,.,.,.,"3,888"
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","2,732","6,076",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,808"
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"23,282",.,.,.,.,"23,282"
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,"6,891",.,.,"6,772",.,.,.,"4,660",.,.,"60,953",.,"20,346",.,.,"99,623"
