Quarter Year,Private owner/ speculative development,Social Housing Development,"Total 
New Dwelling 
Starts"
Q1 2010,1878,154,2032
Q2 2010,2287,468,2755
Q3 2010,1833,309,2142
Q4 2010,1352,120,1472
Q1 2011,1409,141,1550
Q2 2011,1478,515,1993
Q3 2011,1452,418,1870
Q4 2011,1043,255,1298
Q1 2012,1112,214,1326
Q2 2012,1175,406,1581
Q3 2012,998,217,1215
Q4 2012,948,121,1069
Q1 2013,876,102,978
Q2 2013,1182,357,1539
Q3 2013,1168,294,1462
Q4 2013,928,158,1086
Q1 2014,1137,93,1230
Q2 2014,1451,207,1658
Q3 2014,1454,202,1656
Q4 2014,1111,93,1204
Q1 2015,1236,240,1476
Q2 2015,1407,421,1828
Q3 2015,1559,454,2013
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
