HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,RoyalVictoria,South Tyrone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total Cost
AA02D,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,"5,152",.,.,.,.,"5,152"
AA02E,400,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"2,358",.,.,.,.,"2,358"
AA02F,150,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"15,670",.,.,.,.,"15,670"
AA03C,150,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"63,742",.,.,.,.,"63,742"
AA03D,150,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"26,603",.,.,.,.,"26,603"
AA06C,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"45,080",.,.,.,.,"45,080"
AA06D,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"59,095",.,.,.,.,"59,095"
AA06E,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"150,459",.,.,.,.,"150,459"
AA06F,120,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"16,071",.,.,.,.,"16,071"
AA06F,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"442,074",.,.,.,.,"442,074"
AA07C,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"27,868",.,.,.,.,"27,868"
AA07D,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,490",.,.,.,.,"3,490"
AA08C,150,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"13,504",.,.,.,.,"13,504"
AA08D,150,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"33,896",.,.,.,.,"33,896"
AA09D,110,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,"8,740",.,.,.,.,.,.,.,.,"8,740"
AA09D,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"3,995",.,.,.,.,"3,995"
AA09E,120,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"64,590",.,.,.,.,"64,590"
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"32,241",.,.,.,.,"32,241"
AA11Z,150,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"5,772",.,.,.,.,"5,772"
AA12C,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"4,373",.,.,.,.,"4,373"
AA12D,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"163,657",.,.,.,.,"163,657"
AA12E,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"528,297",.,.,.,.,"528,297"
AA12E,370,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"15,995",.,.,.,.,"15,995"
AA13C,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"65,459",.,.,.,.,"65,459"
AA13D,120,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"4,187",.,.,.,.,"4,187"
AA13D,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"100,527",.,.,.,.,"100,527"
AA14Z,150,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,.,.,.,.,.,.,.,"19,023",.,.,.,.,"19,023"
AA15C,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"18,310",.,.,.,.,"18,310"
AA15D,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"38,807",.,.,.,.,"38,807"
AA15E,120,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,"7,159",.,.,.,.,.,.,.,.,.,.,.,"7,159"
AA15E,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"33,121",.,.,.,.,"33,121"
