Disease,Week 30,Week 29,Week 28,Week 27,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,1,2,30,40,33,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,3,4,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,30,20,33,24,1105,1323,1174,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,1,0,0,22,9,3,, ,,,,,,
Food Poisoning,44,43,44,41,1042,1027,1026,, , ,,,,,
Gastroenteritis (< 2years),5,6,5,11,165,254,437,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,3,,, , , ,,,
Hepatitis B,3,1,1,3,68,5,53,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,1,0,3,3,5,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,2,5,3,,, ,,, ,,
Measles,0,0,0,0,13,10,50,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,15,18,,, , , , ,,
Mumps,6,1,7,3,182,37,615,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,4,6,9,,, ,,,,,
Scarlet Fever,3,0,7,8,296,513,142,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,24,44,19,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,0,1,20,23,24,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,3,1,4,2,49,19,67,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,97,73,103,95,3049,3339,3690,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
