Academic Year,Group 1 - Most Deprived,Group 2,Group 3,Group 4,Group 5 - Least Deprived,Not Known,Number of enrolments
Up to 31 July 2003,1187,804,626,582,301,509,4009
1 August 2003 - 31 July 2004,2684,1978,1804,1309,835,491,9101
1 August 2004 - 31 July 2005,4170,2863,2557,1719,1172,580,13061
1 August 2005 - 31 July 2006,5184,3903,3287,2537,1605,743,17259
1 August 2006 - 31 July 2007,6705,4283,3541,2701,1757,1271,20258
1 August 2007 - 31 July 2008,7862,5071,4624,3533,2143,2314,25547
1 August 2008 - 31 July 2009,10204,7299,6332,5076,3294,2765,34970
1 August 2009 - 31 July 2010,13967,10310,9125,7532,4999,3948,49881
1 August 2010 - 31 July 2011,16387,12828,10652,9588,5876,4670,60001
1 August 2011 - 31 July 2012,16058,13048,11071,8712,5846,4477,59212
1 August 2012 - 31 July 2013,14063,10950,9665,7777,4893,4387,51735
1 August 2011 - 31 July 2014,12366,9681,8458,6753,4093,4441,45792
