HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA22C,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
AA22C,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,535,.,.,.,.,535
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,401,.,.,376,.,.,.,.,.,.,.,367,.,.,.,.,378
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,997
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",446,401,.,.,376,.,.,.,.,.,344,.,366,.,514,.,364,389
AA22E,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",357,.,.,.,.,.,.,.,.,.,.,.,535,.,656,.,.,542
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,390,.,.,.,.,390
AA22F,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,963",.,.,.,.,"1,963"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",446,401,.,.,376,291,.,.,370,.,.,.,367,.,514,.,364,380
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,580
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",357,345,.,.,376,.,.,.,.,.,.,.,538,.,.,.,.,500
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,.,.,549,439,.,.,.,.,.,.,.,997,.,.,.,.,608
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,591,.,.,.,.,591
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA22G,180,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,367,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,789
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,401,.,468,376,291,.,.,.,.,344,.,368,.,514,.,364,389
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,373,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,365
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",580,.,.,.,429,.,.,.,.,.,.,.,.,.,.,.,.,530
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,351,.,.,.,.,.,.,.,.,328,.,.,.,.,.,.,341
AA22G,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,345,515,.,376,.,.,.,.,.,.,.,537,.,.,.,.,475
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,291,.,.,.,.,.,.,366,.,.,.,.,316
AA23C,361,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,422,437
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,535,.,.,.,.,535
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,401,.,.,376,.,.,.,929,.,.,.,366,.,.,.,364,420
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,307,326
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,390,.,.,.,.,390
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,446,401,.,.,376,291,.,.,370,.,344,.,366,.,514,.,364,388
AA23E,340,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,345,.,.,376,.,.,.,.,.,.,.,538,.,656,.,307,404
