HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,"7,957","5,764","1,205",.,.,"5,678",755,.,"6,365",.,.,.,.,"3,542"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","2,908","5,848",.,.,"2,708",.,.,.,"4,660",.,.,"9,150",.,"20,346",.,.,"6,524"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","3,280","1,203","2,394","5,307","4,566","3,196",.,.,740,.,"4,451","3,067","8,361","4,813",.,"5,311","3,443"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","3,610","3,862","6,626","3,042","2,439","1,550","2,575",.,740,"6,043","2,317","3,568",.,"1,313",.,"1,842","3,226"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,441","1,979","3,352","2,134","2,084","1,573","1,886",.,"1,550",.,"1,804","2,951",.,"1,852",.,"1,903","2,305"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"3,298",.,.,.,872,"3,605",.,"5,326",.,.,"7,082","1,320",.,.,.,"3,632"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"3,880","4,646","7,181","1,787","5,711","3,605",.,"1,110",.,"2,580","6,862","4,401",.,.,"6,289","4,979"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"6,098","2,682",.,"9,244","2,031","3,537",.,.,.,.,"6,690","5,902","4,254","9,253",.,"2,819","4,439"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"3,221","2,397","1,408","4,212","1,756","2,648",.,.,"1,849",.,973,"4,262",.,"7,394",.,"2,489","3,406"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"2,675","1,301",.,"3,009","1,645","2,334",.,.,.,.,"3,445","3,264",.,"1,028",.,"1,615","2,734"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"4,728",.,"2,340","2,632",581,.,.,.,.,.,"10,674","8,801",.,.,"4,953","4,712"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","7,716","2,940","4,238","3,627","2,819","2,906",.,.,.,.,"2,559","3,749",.,"6,038",.,"6,749","4,196"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","4,047","2,113","4,224","3,447","2,758","4,266",.,.,"5,326",.,"5,000","1,454",.,"4,775",.,"2,237","3,028"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","1,933","3,395","3,418","3,900","2,673","3,755",.,.,"5,548",.,"4,840","1,997",.,"4,035",.,"2,191","2,757"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","2,756","1,901","3,367","3,154","2,506","2,082",.,.,"2,774",.,.,"1,126","4,841","3,678",.,"1,807","2,284"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","1,784","1,316","2,986","3,510","1,504","1,743","1,545",.,.,"2,833","1,914","1,554",.,"3,649",.,"1,418","1,889"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+","3,568","2,205",.,"27,994","2,634","1,308","2,575",.,"7,930","7,931",.,"3,674",.,.,.,.,"5,759"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","6,626","1,503","10,704","11,935","2,591","1,556","3,219",.,"5,400","3,210",.,"4,224","6,777","2,570",.,"2,593","4,370"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","2,166","1,591","3,410","2,247","1,365","1,453",.,.,"2,053","3,399","2,625","1,870","2,420","3,543",.,"1,510","1,966"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,964","1,891","2,277","3,811","2,047","2,324","4,506",.,"1,883","4,003","3,086","2,359","4,401","3,487",.,"1,742","2,293"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,575","1,481","1,950","2,110","1,378","1,377","2,961",.,"1,804","2,077","1,317","2,036","2,640","2,627",.,"1,210","1,683"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+","9,285","4,804","1,878","7,731","2,130","1,366",.,.,"5,317","5,590",.,976,"9,066","2,056",.,"1,611","3,306"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14","5,710","4,250","6,236",.,"2,045","3,478","1,802",.,"4,042","5,760","5,818","2,907","7,481","10,997",.,"3,692","3,922"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","3,801","4,305","3,431","7,377","2,272","2,157","2,460",.,"2,944","4,964",871,"3,094","6,224","6,872",.,"2,501","3,566"
