Quarter Year,Urban Areas HPI,Urban Areas Standardised Price,Rural Areas HPI,Rural Areas Standardised Price
Q1 2005,101.3,107723,100.1,124293
Q2 2005,104.4,111012,105.5,130945
Q3 2005,111.2,118201,111.8,138866
Q4 2005,114.9,122144,116.2,144239
Q1 2006,118.2,125669,119.3,148155
Q2 2006,130.3,138582,128.6,159630
Q3 2006,145.7,154900,142.6,177007
Q4 2006,163.8,174146,158.1,196340
Q1 2007,181.2,192658,174.9,217175
Q2 2007,196.6,209036,192.8,239325
Q3 2007,203.2,216058,201.4,250039
Q4 2007,193.4,205604,193.2,239923
Q1 2008,179.1,190467,178.6,221700
Q2 2008,168,178637,166.8,207105
Q3 2008,153,162680,148,183751
Q4 2008,138,146755,140.8,174793
Q1 2009,127.3,135350,124.3,154330
Q2 2009,128.5,136589,125.5,155801
Q3 2009,129.2,137431,124.7,154882
Q4 2009,128.6,136697,126.8,157423
Q1 2010,122.6,130412,121.7,151089
Q2 2010,121.5,129149,120.9,150140
Q3 2010,119.2,126772,119.1,147879
Q4 2010,111.7,118812,113.8,141233
Q1 2011,106,112717,110.9,137691
Q2 2011,104.9,111505,107.6,133589
Q3 2011,102.9,109436,106.1,131713
Q4 2011,99.9,106222,103.5,128469
Q1 2012,93.3,99210,97.4,120975
Q2 2012,93.9,99793,96.8,120204
Q3 2012,91.6,97370,93.2,115763
Q4 2012,89.2,94817,91.6,113754
Q1 2013,87,92507,90.1,111890
Q2 2013,88.5,94134,92,114236
Q3 2013,90.5,96212,93.2,115657
Q4 2013,91.5,97262,92.8,115255
Q1 2014,93.1,98991,94.1,116795
Q2 2014,96.1,102181,97.5,121078
Q3 2014,98.3,104535,98.5,122268
Q4 2014,99.8,106119,99.9,124038
Q1 2015,100,106330,100,124156
Q2 2015,103,109569,103.1,128026
Q3 2015,106.2,112956,105.8,131334
Q4 2015,106.9,113685,107.3,133186
Q1 2016,106.4,113135,108.6,134831
Q2 2016,111.1,118177,111,137806
