Disease,Week 42,Week 41,Week 40,Week 39,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,34,50,45,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,13,15,14,16,1314,1466,1360,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,1,1,34,17,4,, ,,,,,,
Food Poisoning,32,47,42,39,1559,1527,1470,, , ,,,,,
Gastroenteritis (< 2years),1,3,13,2,243,373,490,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,0,1,1,82,102,84,,, , , , ,,
Hepatitis Unspecified,1,0,0,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,9,4,8,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,0,0,0,3,5,5,,, ,,, ,,
Measles,0,0,0,0,14,15,52,, , , , ,,,
Meningococcal Septicaemia,0,0,1,0,12,19,24,,, , , , ,,
Mumps,3,4,6,5,224,81,662,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,5,7,3,0,326,572,156,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),2,1,0,1,30,61,33,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,0,25,33,30,, ,,,,,,
Typhoid,0,0,1,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,3,1,8,2,102,30,72,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,61,79,90,67,4034,4380,4525,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
