HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,3,.,.,.,.,.,.,3,.,.,.,.,6
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",2,3,.,.,4,.,.,.,.,.,.,.,7,.,.,.,.,16
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",5,1,.,.,1,.,.,.,.,.,3,.,16,.,3,.,2,31
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",9,13,.,.,6,3,.,.,2,.,.,.,51,.,1,.,4,89
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",31,34,2,3,27,2,.,.,.,.,8,.,69,.,2,.,26,204
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,3,.,.,.,.,.,.,2,.,.,.,1,6
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,4,.,.,4,.,.,.,1,.,.,.,2,.,.,.,4,15
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,2,10,.,.,5,2,.,.,1,.,1,.,6,.,3,.,3,33
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,7,15,.,2,2,3,.,.,2,.,.,.,20,.,1,.,9,61
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,8,10,4,4,6,6,.,.,.,.,2,.,17,.,.,.,7,64
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,4
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,8,2,.,.,.,.,.,.,.,.,.,2,.,.,.,4,16
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",3,10,.,.,1,.,.,.,.,.,1,.,6,.,2,.,3,26
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",2,2,3,.,8,1,.,.,.,.,2,.,17,.,2,.,25,62
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",4,11,5,2,2,1,.,.,1,.,3,.,32,.,4,.,17,82
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",8,8,.,.,9,.,.,.,1,.,4,.,53,.,3,.,18,104
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",1,1,.,.,.,.,.,.,1,.,.,.,8,.,.,.,.,11
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",5,5,.,.,8,.,.,.,.,.,1,.,8,.,1,.,7,35
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",20,15,2,.,14,1,.,.,2,.,6,.,45,.,7,.,18,130
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",44,33,2,5,33,6,3,.,8,1,11,.,101,1,5,.,52,305
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",93,113,8,8,51,13,2,.,6,.,34,.,243,.,18,1,142,732
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,1,10,.,3,1,.,.,1,.,.,.,11,.,.,.,1,28
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",2,2,5,.,11,1,.,.,1,.,1,.,31,.,.,.,8,62
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",9,23,5,.,21,3,1,.,2,.,5,.,62,.,8,.,44,183
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",58,93,11,8,62,23,1,.,10,.,28,.,305,1,32,6,95,733
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",124,241,9,20,153,46,3,.,12,.,80,.,455,.,57,23,192,"1,415"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",180,305,9,48,169,72,8,.,16,.,170,.,628,.,89,53,209,"1,956"
AA27Z,Medical Care of Patients with Alzheimer's Disease,5,5,8,.,3,4,1,.,3,.,1,.,10,.,3,.,7,50
AA28D,Motor Neuron Disease with CC Score 5-7,3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,4
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,.,.,1,.,.,.,.,.,.,.,3,.,.,.,.,4
AA28F,Motor Neuron Disease with CC Score 0-1,3,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,1,9
AA29C,Transient Ischaemic Attack with CC Score 11+,2,4,.,1,3,1,.,.,.,.,.,.,4,.,.,.,4,19
AA29D,Transient Ischaemic Attack with CC Score 8-10,4,9,.,1,5,1,1,.,.,.,2,.,26,.,6,.,17,72
AA29E,Transient Ischaemic Attack with CC Score 5-7,21,60,.,9,23,5,4,.,5,.,22,.,51,.,9,.,33,242
AA29F,Transient Ischaemic Attack with CC Score 0-4,47,158,2,21,44,17,2,.,3,.,61,.,64,.,29,.,81,529
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,3
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",2,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,4
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",2,.,.,1,5,.,.,.,.,.,.,.,7,.,.,.,3,18
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",8,8,.,.,5,2,.,.,.,.,.,.,30,.,2,.,3,58
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",2,9,.,.,1,.,.,.,.,.,.,.,3,.,.,.,3,18
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",13,22,3,2,15,.,.,.,2,.,18,.,41,.,5,1,14,136
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",313,396,4,51,207,57,11,.,27,1,184,.,696,.,137,6,288,"2,378"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",2,.,.,.,.,.,.,.,.,.,5,.,34,.,.,.,.,41
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,11
AA35A,Stroke with CC Score 16+,.,4,.,.,.,.,.,.,.,.,.,.,6,1,.,.,6,17
AA35B,Stroke with CC Score 13-15,2,8,3,.,.,2,.,.,.,1,2,.,21,.,.,.,9,48
AA35C,Stroke with CC Score 10-12,.,27,.,.,9,.,1,.,.,1,2,.,65,.,7,.,40,152
AA35D,Stroke with CC Score 7-9,22,53,1,11,17,4,.,.,5,1,20,.,95,1,12,.,67,309
AA35E,Stroke with CC Score 4-6,40,136,.,26,38,38,.,.,4,.,33,.,151,2,19,.,123,610
AA35F,Stroke with CC Score 0-3,39,172,5,24,63,26,1,.,7,.,37,.,137,.,24,.,101,636
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA80Z,Complex Long Term EEG Monitoring,.,.,.,.,5,.,.,.,.,.,.,.,1,.,.,.,.,6
AA81Z,Standard Long Term EEG Monitoring,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,2,.,.,1,.,.,.,1,.,.,.,.,.,1,.,.,5
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",8,7,.,1,11,1,.,.,3,.,6,.,42,.,2,.,12,93
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",33,33,2,4,22,8,1,.,.,.,18,.,120,.,7,2,16,266
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ33Z,"Minor, Cataract or Lens Procedures",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,1,.,5,.,.,.,.,7
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ44C,"Major Oculoplastics Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,3
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",5,1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,2,12
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",1,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4
