a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
2013,CC2013010100097,1,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010100097,2,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010100097,3,8,1,18,3, , , , , ,2, ,9,2, 
2013,CC2013010100097,4,8,1,18,3, , , , , ,2, ,9,2, 
2013,CC2013010100275,1,8,1,14,3, , , , , ,4,1,4,1, 
2013,CC2013010100275,2,8,1,2,6, , , , , ,2,1,3,1, 
2013,CC2013010100332,1,8,1,5,3,4,4,1,1,1,3,1,7,1,1
2013,CC2013010100332,2,8,1,18,3,2,2,1,1,1,2,1,4,1,1
2013,CC2013010100384,1,8,1,18,3, , , , , ,2,1,6,1, 
2013,CC2013010100512,1,8,1,17,4, , , , , ,2,2,6,3, 
2013,CC2013010100519,1,8,1,12,3, , , , , ,2,2,7,1, 
2013,CC2013010100519,2,8,1,18,3, , , , , ,2,2,3,1, 
2013,CC2013010100570,1,8,1,18,3, , , , , ,2,1,3,1, 
2013,CC2013010100699,1,8,1,13,3, , , , , ,3,1,3,1, 
2013,CC2013010100933,1,8,1,17,3, , , , , ,2,1,3,1, 
2013,CC2013010100989,1,8,1,4,3, , , , , ,3,2,5,1, 
2013,CC2013010100989,2,8,1,18,3, , , , , ,2,2,5,1, 
2013,CC2013010101038,1,8,1,9,1, , , , , ,3,1,3,1, 
2013,CC2013010101038,2,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010101304,1,8,1,18,3, , , , , ,3,1,7,1, 
2013,CC2013010101304,2,8,1,18,3, , , , , ,2, ,9,2, 
2013,CC2013010101466,1,8,1,18,3, , , , , ,5,1,6,1, 
2013,CC2013010101466,2,8,1,18,3, , , , , ,2,1,3,1, 
2013,CC2013010101493,1,8,1,17,3, , , , , ,5,1,3,1, 
2013,CC2013010101553,1,8,1,1,3, , , , , ,3,2,3,2, 
2013,CC2013010101553,2,8,1,2,3, , , , , ,2,1,3,1, 
2013,CC2013010200003,1,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010200116,1,8,1,2,11, , , , , ,4,2,4,1, 
2013,CC2013010200116,2,15,1,18,11, , , , , ,4, ,9,2, 
2013,CC2013010200116,3,8,1,2,11, , , , , ,2, ,9,1, 
2013,CC2013010200160,1,5,1,18,3,4,2,1,1,1,2,1,5,1,1
2013,CC2013010200345,1,8,1,9,1, , , , , ,2,1,6,1, 
2013,CC2013010200345,2,8,1,18,3, , , , , ,4,2,4,1, 
2013,CC2013010200345,3,15,1,10,4, , , , , ,2,1,6,1, 
2013,CC2013010200362,1,8,1,18,3, , , , , ,5,1,6,1, 
2013,CC2013010200362,2,17,2,7,2, , , , , ,2,1,5,1, 
2013,CC2013010200362,3,8,1,10,3, , , , , ,4,2,5,1, 
2013,CC2013010200444,1,8,1,5,3, , , , , ,2,2,5,1, 
2013,CC2013010200444,2,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010200578,1,20,1,2,3, , , , , ,1,1,6,1, 
2013,CC2013010200889,1,8,1,18,3, , , , , ,2,2,4,2, 
2013,CC2013010200889,2,8,1,10,3, , , , , ,3,1,8,1, 
2013,CC2013010201051,1,8,1,16,3, , , , , ,2,1,3,1, 
2013,CC2013010300152,1,8,1,18,4, , , , , ,2,2,5,1, 
2013,CC2013010300154,1,8,1,18,3, , , , , ,2,1,6,1, 
2013,CC2013010300154,2,8,1,5,2, , , , , ,1, ,9,3, 
2013,CC2013010300244,1,8,1,18,2, , , , , ,2,1,7,1, 
2013,CC2013010300329,1,8,1,17,3, , , , , ,2,2,4,1, 
2013,CC2013010300384,1,8,1,10,3, , , , , ,3,2,7,1, 
2013,CC2013010300384,2,15,1,18,3, , , , , ,2,1,6,1, 
2013,CC2013010300519,1,8,1,19,3, , , , , ,2,1,7,1, 
2013,CC2013010300519,2,8,1,19,2, , , , , ,4,1,8,1, 
2013,CC2013010300659,1,20,1,4,4, , , , , ,4,1,7,1, 
2013,CC2013010300659,2,8,1,18,4, , , , , ,5, ,9,2, 
2013,CC2013010300700,1,8,1,18,3, , , , , ,2,2,7,1, 
2013,CC2013010300723,1,8,1,18,3, , , , , ,2,1,3,1, 
2013,CC2013010300723,2,8,1,2,3, , , , , ,3, ,9,1, 
2013,CC2013010300747,1,8,1,9,3,3,1,1,8,1,2,1,3,1,1
2013,CC2013010300747,2,5,1,18,3,2,3,1,2,1,2,1,6,1,1
2013,CC2013010300958,1,8,1,8,3, , , , , ,2,1,3,1, 
2013,CC2013010300958,2,8,1,1,3, , , , , ,3,1,6,1, 
2013,CC2013010400222,1,20,1,18,3, , , , , ,5,1,6,1, 
2013,CC2013010400222,2,8,1,2,13, , , , , ,2,1,6,1, 
2013,CC2013010400409,1,8,1,18,3, , , , , ,3,2,4,1, 
2013,CC2013010400409,2,8,1,4,3, , , , , ,2,1,6,1, 
2013,CC2013010400465,1,8,1,9,2, , , , , ,2,1,8,1, 
2013,CC2013010400465,2,17,1,18,3, , , , , ,2,1,6,1, 
2013,CC2013010400657,1,8,1,14,3, , , , , ,2,1,3,1, 
2013,CC2013010400657,2,8,1,9,3, , , , , ,4,1,7,1, 
2013,CC2013010400761,1,8,1,4,3, , , , , ,3,1,4,1, 
2013,CC2013010400761,2,8,1,18,3, , , , , ,2,2,6,1, 
2013,CC2013010400825,1,8,1,10,3, , , , , ,3,2,5,1, 
2013,CC2013010400825,2,15,1,4,3, , , , , ,2,1,4,1, 
2013,CC2013010400873,1,8,1,9,1,3,1,1,1,1,2,2,7,1,1
2013,CC2013010400873,2,4,1,18,3,2,1,1,1,1,2,1,6,1,1
2013,CC2013010400877,1,8,1,18,3, , , , , ,2,1,5,1, 
2013,CC2013010400877,2,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010400993,1,8,1,7,1,3,1,1,1,1,5,2,4,1,1
2013,CC2013010401017,1,1,1,18,3, , , , , ,4,1,6,1, 
2013,CC2013010401017,2,8,1,9,2, , , , , ,2,1,6,1, 
2013,CC2013010401075,1,8,1,9,3, , , , , ,2,1,3,1, 
2013,CC2013010401075,2,8,1,18,3, , , , , ,2,1,7,1, 
2013,CC2013010401139,1,8,1,16,3, , , , , ,2,2,4,1, 
2013,CC2013010401159,1,8,1,18,4, , , , , ,2,2,5,1, 
2013,CC2013010401187,1,8,1,18,3, , , , , ,2,1,8,2, 
2013,CC2013010401187,2,8,1,18,3, , , , , ,4,1,5,1, 
2013,CC2013010500339,1,8,1,18,3, , , , , ,5,1,3,1, 
2013,CC2013010500339,2,8,1,18,3, , , , , ,1, ,9,3, 
2013,CC2013010500584,1,5,1,18,3, , , , , ,1,1,7,1, 
2013,CC2013010500593,1,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010500593,2,8,1,9,1, , , , , ,5,1,4,1, 
2013,CC2013010500719,1,8,1,18,3, , , , , ,3,2,4,1, 
2013,CC2013010500719,2,8,1,18,3, , , , , ,2,2,4,1, 
2013,CC2013010500810,1,8,1,3,3, , , , , ,3,2,5,1, 
2013,CC2013010500810,2,8,1,18,3, , , , , ,2,1,4,1, 
2013,CC2013010500835,1,8,1,18,4, , , , , ,4,1,7,1, 
2013,CC2013010500835,2,8,1,18,4, , , , , ,4,1,5,1, 
2013,CC2013010500842,1,8,1,18,3, , , , , ,2,2,6,1, 
2013,CC2013010500842,2,8,1,18,3, , , , , ,1, ,9,3, 
2013,CC2013010500860,1,8,1,18,3, , , , , ,2,2,3,1, 
