Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2000),Med. Val. ('00 in '10 Dollars),Median Home  Value (2010),% Change Real Value 2000-2010,Median Sale Price (2010),# Sales Counted (2010),Foreclosures (2008),Foreclosures (2010),% of all Housing Units Foreclosed (2010)
Allegheny Center,3,933,675,"1,052",51.5%,48.5%,535,10.1%,89.9%,0,100.0%,0.0%,4.6%,2.1%,7.4%,67.3%,17.3%,1.3%,"$86,500","$109,535","$136,300",24.4%,N/A,0,0,0,0.0%
Allegheny West,3,462,390,355,74.9%,25.1%,203,18.2%,81.8%,15,100.0%,0.0%,0.0%,3.6%,0.0%,7.9%,31.0%,57.4%,"$159,700","$202,228","$123,600",-38.9%,"$309,940",7,0,1,0.3%
Allentown,6,"2,500","1,505","1,291",80.0%,20.0%,953,59.2%,40.8%,5,92.1%,7.9%,0.0%,1.5%,8.2%,7.1%,20.3%,62.9%,"$34,300","$43,434","$42,200",-2.8%,"$8,500",70,27,11,0.9%
Arlington,7,"1,869",880,886,86.6%,13.4%,754,65.4%,34.6%,11,100.0%,0.0%,0.0%,1.1%,1.6%,0.5%,24.5%,72.3%,"$38,800","$49,132","$44,200",-10.0%,"$15,397",34,12,13,1.5%
Arlington Heights,7,244,557,148,91.2%,8.8%,139,18.7%,81.3%,2,100.0%,0.0%,0.0%,0.0%,7.1%,35.3%,48.4%,9.2%,"$45,000","$56,984","$64,400",13.0%,N/A,0,0,0,0.0%
Banksville,5,"4,144","2,203","2,118",95.4%,4.6%,"2,093",49.9%,50.1%,5,85.2%,14.8%,1.3%,9.8%,4.6%,41.6%,38.2%,4.6%,"$87,200","$110,421","$110,900",0.4%,"$101,431",40,7,5,0.2%
Bedford Dwellings,15,"1,202","1,049",746,87.3%,12.7%,695,7.6%,92.4%,2,100.0%,0.0%,3.7%,8.1%,7.5%,11.9%,30.1%,38.6%,"$17,200","$21,780","$81,100",272.4%,$200,1,0,1,0.1%
Beechview,5,"7,974","4,048","3,939",89.3%,10.7%,"3,518",58.7%,41.3%,6,100.0%,0.0%,0.5%,0.5%,3.6%,15.0%,37.7%,42.7%,"$56,150","$71,103","$72,400",1.8%,"$36,068",128,64,40,1.0%
Beltzhoover,6,"1,925","1,298","1,085",73.5%,26.5%,849,73.5%,26.5%,17,100.0%,0.0%,2.8%,0.0%,0.8%,9.2%,19.8%,67.4%,"$34,000","$43,054","$36,000",-16.4%,"$2,744",39,12,11,1.0%
Bloomfield,12,"8,442","5,432","5,136",89.0%,11.0%,"4,924",36.7%,63.3%,3,99.6%,0.4%,1.1%,0.6%,1.4%,7.1%,16.8%,73.0%,"$60,560","$76,687","$92,840",21.1%,"$99,250",118,18,12,0.2%
Bluff,15,"6,600",721,388,72.7%,27.3%,293,37.2%,62.8%,0,7.2%,92.8%,0.0%,1.4%,5.4%,14.0%,14.7%,64.5%,"$40,600","$51,412","$21,200",-58.8%,"$50,000",40,0,1,0.3%
Bon Air,6,808,404,387,94.1%,5.9%,423,84.9%,15.1%,15,100.0%,0.0%,0.0%,2.8%,4.6%,2.8%,55.2%,34.6%,"$63,300","$80,157","$69,500",-13.3%,"$65,000",7,2,4,1.0%
Brighton Heights,2,"7,247","3,664","3,615",90.2%,9.8%,"3,645",65.7%,34.3%,5,100.0%,0.0%,0.3%,3.7%,9.1%,5.0%,20.3%,61.6%,"$68,733","$87,037","$81,433",-6.4%,"$67,000",163,55,35,1.0%
