Disease,Week 5,Week 4,Week 3,Week 2,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,2,1,6,11,4,,,,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,0,1,1,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,31,30,48,46,155,145,124,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,1,2,3,0,0,, ,,,,,,
Food Poisoning,27,22,21,29,122,104,94,, ,,,,,,
Gastroenteritis (< 2years),1,5,6,4,23,51,42,,, ,,,,,
Hepatitis A,0,0,0,0,0,0,0,,,, , ,,,
Hepatitis B,0,1,2,1,6,15,10,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,2,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,3,1,,, ,,, ,,
Measles,0,0,1,2,3,4,12,, , , , ,,,
Meningococcal Septicaemia,0,1,0,1,2,4,4,,, , , , ,,
Mumps,11,16,9,5,44,10,188,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,1,0,2,0,1,,, ,,,,,
Scarlet Fever,9,10,8,4,39,36,30,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,1,0,0,0,1,0,0,, ,,,,,,
Tuberculosis (Pulmonary),2,1,2,0,5,3,4,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,0,3,3,2,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,0,2,2,1,5,1,25,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,84,89,103,96,420,391,543,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
