Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Jun-2007,Belfast,General Surgery,Acute Services,748,552,371,37,0,,,--,--,--,--,--,"1,708",
30-Jun-2007,Belfast,Urology,Acute Services,661,434,224,17,0,,,--,--,--,--,--,"1,336",
30-Jun-2007,Belfast,T & O Surgery,Acute Services,747,1043,677,147,0,,,--,--,--,--,--,"2,614",
30-Jun-2007,Belfast,ENT,Acute Services,431,628,329,10,0,,,--,--,--,--,--,"1,398",
30-Jun-2007,Belfast,Ophthalmology,Acute Services,1026,956,483,25,0,,,--,--,--,--,--,"2,490",
30-Jun-2007,Belfast,Oral Surgery,Acute Services,68,50,33,11,0,,,--,--,--,--,--,162,
30-Jun-2007,Belfast,Paediatric Dentistry,Acute Services,45,19,10,0,0,,,--,--,--,--,--,74,
30-Jun-2007,Belfast,Neurosurgery,Acute Services,33,28,17,1,0,,,--,--,--,--,--,79,
30-Jun-2007,Belfast,Plastic Surgery,Acute Services,122,83,57,1,0,,,--,--,--,--,--,263,
30-Jun-2007,Belfast,Cardiac Surgery,Acute Services,89,107,70,1,0,,,--,--,--,--,--,267,
30-Jun-2007,Belfast,Paediatric Surgery,Acute Services,143,110,52,3,0,,,--,--,--,--,--,308,
30-Jun-2007,Belfast,Thoracic Surgery,Acute Services,42,7,3,0,0,,,--,--,--,--,--,52,
30-Jun-2007,Belfast,Accident & Emergency,Acute Services,27,2,0,0,0,,,--,--,--,--,--,29,
30-Jun-2007,Belfast,Anaesthetics,Acute Services,14,15,0,0,0,,,--,--,--,--,--,29,
30-Jun-2007,Belfast,Pain Management,Acute Services,157,106,41,1,0,,,--,--,--,--,--,305,
30-Jun-2007,Belfast,General Medicine,Acute Services,173,82,28,0,0,,,--,--,--,--,--,283,
30-Jun-2007,Belfast,Gastroenterology,Acute Services,383,194,86,5,0,,,--,--,--,--,--,668,
30-Jun-2007,Belfast,Endocrinology,Acute Services,26,6,7,0,0,,,--,--,--,--,--,39,
30-Jun-2007,Belfast,Cardiology,Acute Services,345,212,148,15,0,,,--,--,--,--,--,720,
30-Jun-2007,Belfast,Dermatology,Acute Services,38,25,13,3,0,,,--,--,--,--,--,79,
30-Jun-2007,Belfast,Thoracic Medicine,Acute Services,14,19,16,0,0,,,--,--,--,--,--,49,
30-Jun-2007,Belfast,Nephrology,Acute Services,47,20,7,2,0,,,--,--,--,--,--,76,
30-Jun-2007,Belfast,Neurology,Acute Services,35,34,28,8,0,,,--,--,--,--,--,105,
30-Jun-2007,Belfast,Rheumatology,Acute Services,7,6,11,2,0,,,--,--,--,--,--,26,
30-Jun-2007,Belfast,Paediatrics,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
30-Jun-2007,Belfast,Gynaecology,Acute Services,370,280,155,27,0,,,--,--,--,--,--,832,
30-Jun-2007,Belfast,GP Other,Acute Services,9,0,0,0,0,,,--,--,--,--,--,9,
30-Jun-2007,Belfast,Radiology,Acute Services,2,3,1,0,0,,,--,--,--,--,--,6,
30-Jun-2007,Belfast,Mental Illness,Mental Health,7,0,0,0,0,,,--,--,--,--,--,7,
