"ITEM_TYPE_NAME","CROSSING_TYPE_NAME","SECTION_NAME","EASTING","NORTHING","START_DATE"
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0012_10 - WESTLINK1: YORK ST TO WESTLINK AT PETER'S HILL -  BELFAST NORTH",333996,375116,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0012_02 - WESTLINK1: FOOTBRIDGE TO GROSVENOR RD CENTRE-LINE -  BELFAST NORTH",333013,373812,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0020_05 - UPPER NEWTOWNARDS RD1: BEERSBRIDGE RD TO KNOCK RD -  BELFAST SOUTH",338098,373958,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0020_05 - UPPER NEWTOWNARDS RD1: BEERSBRIDGE RD TO KNOCK RD -  BELFAST SOUTH",338268,373952,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0055_19 - UPPER KNOCKBREDA RD1: SAINTFIELD RD TO CREGAGH RD -  BELFAST SOUTH",336194,371018,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0055_22 - KNOCK RD1: CASTLEREAGH RD TO GLEN RD -  BELFAST SOUTH",337575,372085,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0055_19 - UPPER KNOCKBREDA RD1: SAINTFIELD RD TO CREGAGH RD -  BELFAST SOUTH",335267,370136,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0055_19 - UPPER KNOCKBREDA RD1: SAINTFIELD RD TO CREGAGH RD -  BELFAST SOUTH",335389,370341,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","UNCONTROLLED","7035B0513_05 - STATION RD9: DOAGH RD RBT TO STATION RD RBT -  NEWTOWNABBEY",334665,382583,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0199_01 - UPPER GALWALLY RD1: SAINTFIELD RD TO UPPER KNOCKBREDA RD -  BELFAST SOUTH",335098,370557,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0818_25 - ORMEAU EMBANKMENT1: ORMEAU RD TO RAVENHILL RD -  BELFAST SOUTH",335097,373349,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0830_09 - CASTLEHILL RD1: UPPER NEWTOWNARDS RD TO MASSEY AV -  BELFAST SOUTH",339267,373930,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065U7025_09 - LARGYMORE LK1: HILLHALL RD B23 TO SAINTFIELD RD RBT M1 -  LISBURN",327950,364053,24/09/2007 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0647_01 - FORTHRIVER RD1: BALLYGOMARTIN RD TO END -  BELFAST NORTH",331089,375342,12/10/2007 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0124_03 - GLEN RD1: BALLYGOWAN RD2 TO KNOCK RD -  BELFAST SOUTH",337906,371754,24/07/2007 00:00:00
"PEDESTRIAN CROSSING","UNCONTROLLED","7035U0624_03 - QUEEN ST1: WELLINGTON PL1 TO CASTLE ST2 -  BELFAST NORTH",333615,374167,06/08/2007 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065U0134_31 - BALLOO RD1: BALLOO DR1 TO GRANSHA RD C252 -  NORTH DOWN",351510,379485,09/07/2007 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0620_23 - DONEGALL ST1: ROYAL AV TO WARING ST -  BELFAST NORTH",333969,374491,28/07/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0824_02 - STATION ST1: BRIDGE END TO END -  BELFAST SOUTH",334599,374477,14/03/2005 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0613_35 - DUNCAIRN GDS1: NORTH QUEEN ST1 TO ANTRIM RD1 -  BELFAST NORTH",333977,375656,07/07/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0201_02 - CLIFTONVILLE RD1: OLDPARK RD RBT TO ANTRIM RD -  BELFAST NORTH",333014,376080,08/01/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0205_01 - FORTWILLIAM PK1: SHORE RD TO ANTRIM RD -  BELFAST NORTH",334138,377614,08/01/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035B0126_02 - COLLEGE AV2: COLLEGE SQUARE N1 TO CASTLE ST2 -  BELFAST NORTH",333518,374143,22/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0001_21 - HOWARD ST1: GREAT VICTORIA ST1 TO BEDFORD ST1 -  BELFAST NORTH",333544,373913,16/08/2006 00:00:00
"PEDESTRIAN CROSSING","?","7035A0002_29 - NELSON ST3: DOCK ST1 TO WHITLA ST1 -  BELFAST NORTH",334383,375616,02/05/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035B0126_11 - MILLFIELD1: NORTH ST1 TO CASTLE ST2 -  BELFAST NORTH",333453,374515,18/08/2006 00:00:00
"PEDESTRIAN CROSSING","UNCONTROLLED","7020U3105_09 - ANTRIM ST2: LANCASTERIAN ST TO HIGH ST -  CARRICKFERGUS",341408,387554,20/01/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0006_09 - ANTRIM RD1: LIMESTONE RD TO SALISBURY AV -  BELFAST NORTH",333211,376930,08/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0006_09 - ANTRIM RD1: LIMESTONE RD TO SALISBURY AV -  BELFAST NORTH",333216,376477,08/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0020_16 - MAY ST1: DONEGALL SQUARE E TO OXFORD ST -  BELFAST NORTH",333936,373954,16/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0020_16 - MAY ST1: DONEGALL SQUARE E TO OXFORD ST -  BELFAST NORTH",334076,373967,16/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0001_21 - HOWARD ST1: GREAT VICTORIA ST1 TO BEDFORD ST1 -  BELFAST NORTH",333638,373923,16/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0006_07 - ANTRIM RD1: CARLISLE CIRCUS TO CLIFTONVILLE RD -  BELFAST NORTH",333384,375324,03/08/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0635_19 - BROADWAY3: FALLS RD TO BROADWAY ROUNDABOUT -  BELFAST NORTH",331890,373513,10/10/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0641_16 - CAMBRAI ST1: WOODVALE RD2 TO CRUMLIN RD1 -  BELFAST NORTH",331862,375009,13/09/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0648_43 - BEECHMOUNT AV1: FALLS RD TO OAKMAN ST -  BELFAST NORTH",331681,373409,15/10/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0828_37 - KNOCKNAGONEY RD1: BELFAST RD8 TO OLD HOLYWOOD RD -  BELFAST SOUTH",338303,376645,08/03/2005 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035B0039_04 - WOODVALE RD2: AINSWORTH AV TO CRUMLIN RD RBT -  BELFAST NORTH",331662,375294,13/06/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0052_02 - CRUMLIN RD1: OLDPARK RD TO TENNENT ST -  BELFAST NORTH",332329,375541,14/06/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0305_03 - BLACK'S RD1: M1 SLIP RD TO STEWARTSTOWN RD3 -  BELFAST NORTH",329644,369682,20/12/2005 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065B0102_08 - STEWARTSTOWN RD1: COLIN RD RBT C3 TO BRIDGE AT BOUNDARY -  BELFAST NORTH",328359,370341,14/06/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0055_50 - NORTH CIRCULAR RD3: CAVEHILL RD1 TO BALLYSILLAN RD1 AT NO.637 -  BELFAST NORTH",332566,378067,05/07/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0023_06 - CASTLEREAGH RD1: BEERSBRIDGE RD TO LADAS DR -  BELFAST SOUTH",336314,372939,04/07/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0023_06 - CASTLEREAGH RD1: BEERSBRIDGE RD TO LADAS DR -  BELFAST SOUTH",336002,373293,04/07/2006 00:00:00
"PEDESTRIAN CROSSING","UNCONTROLLED","7035U0307_05 - TATE'S AV1: EBOR ST1 RBT TO LISBURN RD3 -  BELFAST SOUTH",332847,372449,23/11/2004 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035A0023_07 - CASTLEREAGH RD1: GRAND PDE1 TO ORBY ST1(BOUNDARY) -  BELFAST SOUTH",337122,372363,15/06/2006 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7035U0519_09 - IVANHOE AV1: SAINTFIELD RD TO KNOCKBRACKEN DR -  CASTLEREAGH",336436,366477,16/02/2007 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065A0001_38 - SMITHFIELD ST1: MARKET ST TO MARKET PL -  LISBURN",326594,364146,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065A0001_40 - MARKET SQUARE1 SOUTH: BRIDGE ST TO MARKET ST -  LISBURN",326768,364268,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065A0519_08 - GOVERNORS RD RBT1: CHAPEL HILL TO CHAPEL HILL -  LISBURN",326228,364148,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065A0519_08 - GOVERNORS RD RBT1: CHAPEL HILL TO CHAPEL HILL -  LISBURN",326229,364133,01/01/1986 00:00:00
"PEDESTRIAN CROSSING","SIGNAL CONTROLLED","7065U7003_02 - CHAPEL HILL1: MARKET PL A1 TO GOVERNORS RD RBT A3 -  LISBURN",326417,364275,01/01/1986 00:00:00
