Disease,Week 8,Week 7,Week 6,Week 5,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,2,1,1,11,17,11,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,1,1,2,1,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,33,38,0,31,226,278,199,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,2,0,2,0,7,1,0,, ,,,,,,
Food Poisoning,16,24,29,27,191,186,165,, ,,,,,,
Gastroenteritis (< 2years),0,2,0,1,25,73,66,,, ,,,,,
Hepatitis A,0,1,1,0,2,1,0,,,, , ,,,
Hepatitis B,4,2,2,3,20,26,19,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,2,,, ,, ,, ,
Leptospirosis,0,0,1,0,1,0,0,, , , , ,,,
Malaria,0,0,0,0,0,4,2,,, ,,, ,,
Measles,2,0,0,0,4,4,24,, , , , ,,,
Meningococcal Septicaemia,1,1,0,0,4,7,7,,, , , , ,,
Mumps,4,9,8,11,65,13,270,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,0,0,2,0,3,,, ,,,,,
Scarlet Fever,11,10,22,9,82,82,50,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,1,1,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,3,1,2,10,10,5,, , ,,,,,
Tuberculosis (Non Pulmonary),2,2,0,0,7,7,2,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,1,0,0,0,6,2,33,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,79,94,68,87,666,713,860,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
