HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,35
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,37,.,.,.,.,37
AA04D,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA05C,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA05D,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA06D,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA06E,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA06F,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
AA07C,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,26,.,.,.,.,26
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,18
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,40,.,.,.,.,40
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,3
AA21C,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,1,.,.,.,.,.,.,11,.,.,.,.,12
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,1,15
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",1,.,.,.,1,.,.,.,.,.,.,4,.,.,.,.,6
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,2,6,.,.,1,1,.,8,.,4,.,.,22
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",3,4,.,.,11,1,1,.,1,1,.,29,.,1,.,2,54
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",9,7,7,3,9,5,3,.,3,1,5,38,2,5,.,10,107
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",25,24,5,14,27,9,3,.,5,.,8,97,.,16,.,36,269
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,1,.,.,.,.,.,.,3,.,.,.,3,.,.,.,7
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,1,5,.,.,2,.,1,.,1,.,.,2,.,.,.,2,14
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,7,10,6,4,5,1,.,.,6,1,3,9,1,7,.,5,65
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,10,14,1,4,13,6,1,.,4,1,7,23,.,7,.,11,102
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,7,5,6,4,8,5,.,.,1,.,8,29,.,2,.,4,79
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",3,2,2,.,1,.,.,.,3,.,1,.,1,.,.,1,14
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",1,4,4,1,.,2,2,.,2,.,.,3,1,.,.,1,21
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",7,5,9,.,1,1,2,.,1,.,4,6,1,.,.,8,45
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",15,13,20,6,7,2,1,.,1,.,4,17,.,3,.,7,96
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",12,17,19,6,12,3,4,.,.,.,1,20,.,2,.,13,109
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",16,3,12,8,12,.,.,.,2,.,1,29,1,4,.,7,95
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,1,3,.,.,.,2,5,1,2,3,1,.,4,22
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",5,2,.,1,4,3,1,.,3,.,.,3,.,1,.,4,27
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",8,7,5,3,14,2,1,.,2,7,2,28,.,3,.,15,97
