Academic Year,Literacy -Male,Literacy Female,Literacy - Total,Numeracy - Male,Numeracy - Female,Numeracy - Total,ICT - Male,ICT - Female,ICT - Total
Up to 31 July 2003,1282,1325,2607,710,692,1402,0,0,0
1 August 2003 - 31 July 2004,3260,2674,5934,1732,1435,3167,0,0,0
1 August 2004 - 31 July 2005,4059,4155,8214,2434,2413,4847,0,0,0
1 August 2005 - 31 July 2006,4640,5194,9834,3319,4106,7425,0,0,0
1 August 2006 - 31 July 2007,5603,4822,10425,4810,4762,9572,102,159,261
1 August 2007 - 31 July 2008,7302,5064,12366,6755,5624,12379,289,513,802
1 August 2008 - 31 July 2009,8735,7260,15995,7937,8223,16160,1233,1582,2815
1 August 2009 - 31 July 2010,10234,8254,18488,9421,9234,18655,6177,6561,12738
1 August 2010 - 31 July 2011,12321,9822,22143,11799,11326,23125,7069,7664,14733
1 August 2011 - 31 July 2012,11869,9528,21397,11379,11331,22710,7173,7932,15105
1 August 2012 - 31 July 2013,10650,8003,18653,10392,9731,20123,5910,7049,12959
1 August 2013 - 31 July 2014,9185,6814,15999,8831,8280,17111,5971,6711,12682
