Academic Year,Entry Level 1,Entry Level 2,Entry Level 3,Level 1,Level 2,Number of qualifications
Up to 31 July 2003,0,0,0,238,78,316
1 August 2003 - 31 July 2004,380,455,833,1484,291,3443
1 August 2004 - 31 July 2005,740,987,2850,689,199,5465
1 August 2005 - 31 July 2006,773,1336,3623,2633,1326,9691
1 August 2006 - 31 July 2007,655,1164,3433,4231,2944,12427
1 August 2007 - 31 July 2008,598,1244,3658,5012,4685,15197
1 August 2008 - 31 July 2009,306,928,3116,5374,5429,15153
1 August 2009 - 31 July 2010,394,906,3138,10534,10361,25333
1 August 2010 - 31 July 2011,472,1025,3444,14089,16307,35337
1 August 2011 - 31 July 2012,517,1088,3634,14273,20583,40095
1 August 2012 - 31 July 2013,579,1103,3353,12862,21487,39384
1 August 2013 - 31 July 2014,460,1016,3922,10530,24929,40857
